geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;10000110000001011011110001000000000101000110000000100010000000010111110110000000000;0.369588;22876;10111001011010000000001001000001000010000000110010010000011111000000000010001100010;0.0150575;932;0.144276;1
1;00000100100011100111010000011100010010010100000100000000101000010010000001000001101;0.363368;22491;00010101001011100000000000000100110000000000011110110011000111001000100100001000000;0.0404226;2502;0.178034;2
2;00100000000110000101111000011100010100010010000010000000001000010110000010100001101;0.373094;23093;10001001100101010000000010000000000010010000011001001000000100000100010110111100011;0.0556256;3443;0.208693;1
3;00000101001100000111010000011100010010010100000100000000101000010011000001000001101;0.392788;24312;00111010010000010000000001110011100000110000000111010000000111000001000010000010010;0.0610056;3776;0.232303;4
4;00000000000000010011100010001100011010100110000100000100000100010111100100100000101;0.401965;24880;00001010000000011000001100010000010010000110101110100100000010000011100001010010010;0.105015;6500;0.255242;1
5;00010110000000001010000011111110000000001010000000000001100100010111001000100000101;0.406941;25188;01010010100010000000000011000100010100111100000001100000010000000010011011100101000;0.128522;7955;0.280349;3
6;00000000000000010011100010001100011010100110001100000010100000011100100101000000101;0.449334;27812;01000100000001000101100110001001010000000000000001011101010100010100010001101000010;0.141366;8750;0.299996;2
7;00000000000000010011100010001100011010100110001100000010100000011100100101010000100;0.44124;27311;00000011000100100111010100001000000110000100001110011100000110000001101000010000000;0.156181;9667;0.317031;2
8;00010000000010000110110010001100011010100110001100000010100000010100100100010000100;0.470289;29109;00010001001100001100000000001000001011011011001010001000100101011000000100010100000;0.190432;11787;0.333575;6
9;00010100100000000110010010001100011010100110001100000010100000010100100100010000100;0.466008;28844;00010111100000000100010010011010001011000010001010000000000000100110111000101000000;0.206281;12768;0.347594;3
10;00000100000000001111010000101101010100001010000000000000110100010111001000100000101;0.469158;29039;00010011100100000110010001001110001000000000000010001001110100000011001000100100100;0.23323;14436;0.360455;2
11;00000000100000000110110010001100011010100110001100000110100000010100100100000000110;0.463439;28685;00010010000100001110010001101100100111001100000100000000100100000010001000101100000;0.248772;15398;0.367499;3
12;00010011000100000110110000101100011000100010000000000000100100010101001100010000101;0.468512;28999;10001000100001000110010110000000010001011000001100011000001000000011010100000000111;0.213746;13230;0.376549;1
13;01011000000000000011110000101100010010100010000000010001110000010111101000000000100;0.476493;29493;00000001010101100010100001000000000011100100010000100001000010010101101100000110100;0.280987;17392;0.387666;4
14;00010110000000000011110100001100011010010110000100000010100000010111000000000000101;0.484846;30010;10000110001001000100110000011110000111100000000111001001100000000000000000000010101;0.218609;13531;0.395138;1
15;00010010000100000111110000101100011000100010000000000000100100010101001100010000101;0.487059;30147;01010000000000000100100000101110110011010010000000010001110010011010100000000000101;0.286691;17745;0.40379;3
16;00010010000100000111110000101100011000100010000000000000110100010101001100010000100;0.486881;30136;00010100100000000110100010001100011010100100001000010011100010000000101000100100100;0.258143;15978;0.407011;2
17;00010110000000000111110100100100001001000010000100000001110100010111000000100000100;0.487398;30168;00000100010011000101110100100000010110100010000000010011110000000000001000000110101;0.241938;14975;0.412809;4
18;00000010001100000111100000100000001100100011101000010001110000010111000100000000100;0.501018;31011;01000010000001001110000000001000111000000000101000010011110000100111001010000100001;0.261406;16180;0.420444;4
19;00000010000000000111110000101100011010100010000000000000110000010111001000100000111;0.494216;30590;10000000110010000110110010100100000100001100000100010000100100010010001010110100000;0.253732;15705;0.42816;2
20;00010000000100000111110100101000011101000010001000000010110000000111100100000000100;0.513345;31774;00000000010100010110110010100100000011000110001010000101100000000010001000101000101;0.258078;15974;0.43213;2
21;00010000000100000111110100101000011101000010001000010001110000010111000000000000100;0.523604;32409;00010110000100110111100001100000000001010110000000000000110100000010000100011100100;0.265284;16420;0.435878;2
22;00010100000000000111110100101000011101000010001000010001110000010111000000000000100;0.531553;32901;01000000000000100111110000001101010000100110001100000000100110010010001100000001100;0.33957;21018;0.439747;3
23;00010100000000000111110100101000010101000010001000010010100000110111000100000000100;0.519064;32128;00110100000100100111000000101000001001000010001100100010110000000011100100001000001;0.288096;17832;0.443943;5
24;01000010000000000110110000111000011101000010001000010001100000010111000100000000101;0.530277;32822;00010100000000000111110100100100101001000010010000011000110000000101010100010001000;0.350443;21691;0.451993;5
25;00000000000000000111110000101100011101000010001000000010110000010111001100000000101;0.529986;32804;00000010010000000010110100111000011110100010000100100111100000000011000100000000100;0.351832;21777;0.455167;3
26;00000000000100000111110000101100011101000010001100000000100000010111000111000000100;0.524606;32471;01000000001000000110010000111101011110110001001000000001100010010001000100000000100;0.358779;22207;0.461778;8
27;00011010000000000111010000111000011101000010000100010010100000010111000100000000100;0.52543;32522;00101000000001000111010001001101000110100111000000000010110000000011000100000000110;0.334658;20714;0.461941;6
28;00010100000000000111010000101100011101000010001100000010100000010111100000000000101;0.532151;32938;00010000000000100101000100011100011010110010000100010010000000010111001101000000100;0.356647;22075;0.467395;6
29;00010100000000000111110000001100011010100010001100000010110000010111000100000000100;0.527611;32657;01000010000000000110110101101100011101010010001000000010010000000011000000001010001;0.353351;21871;0.469812;4
30;00010100000000000111110000101100011010100010001000000011100000010111000100000000100;0.529517;32775;00010010010000001111110100011000100100001010001000010010100000010010000000000001110;0.3328;20599;0.471781;6
31;00010010000000000111110000101100011010100010000000000010110000010111000101000000100;0.531343;32888;00010100010000000010110000011100010000100110111100000010000000000111000110000010100;0.34894;21598;0.476977;4
32;00010100000000000111110000101100011010100010001000000011100000010111000100000000100;0.529517;32775;00000000101000001101101000110010010001000010000100111010000100100111100000000000100;0.305464;18907;0.475027;7
33;00010100000000000111110001111000011100000010000100000001100000010111000100000001100;0.534671;33094;00000000000100010101110000001100011010100000001100000110101000110011000100000001100;0.356986;22096;0.478222;2
34;00010100000000000111110000101100001101000010000100010010110000010111000100000000100;0.53333;33011;00111000001000000101110100011000011000100010001000010110000001010111000000000010000;0.345935;21412;0.479314;4
35;00010000000000000111110000011000011110000100001000010010110000010111000100000000101;0.532102;32935;00000010010110000111110000101100011010010010001000000010100000110010000101000000000;0.374354;23171;0.478726;1
36;01010000000000000111110000011000011110000100001000010010100000010111000100000000101;0.527013;32620;00000010000001000001110011101101011000100010000000001010100000011111000100001000000;0.371236;22978;0.481232;3
37;00010000001000000111110001111100011100000010000100000000100000010111000100000000101;0.542232;33562;00000110000000000101100000101100011000100010000100100010100000110011000001100001101;0.383127;23714;0.481157;4
38;00000100000000000111110001111000011100000010000100000001110000010111000100000000101;0.54598;33794;10000010010000001011110000011100001011000010001100000010100000110100100100001000000;0.378506;23428;0.482658;5
39;00010000000000000111110000111100011100001010001000010010100000010111000100000000100;0.552944;34225;00010100000000000011110000101001111010000010001100000001110001010010000000000001110;0.372124;23033;0.483846;4
40;00010000000000000111110000111100011100000010001100010010100000010111000100000000100;0.553768;34276;00010000001000000010110000001000011011010110001110000011100000010011110000000000100;0.368037;22780;0.486112;6
41;00010000001000000111110001111100011100000010001000000001100000010111000100000000100;0.554075;34295;00000100001000001111010100100100011101000010100000000011100000010011000000000001110;0.396504;24542;0.489878;3
42;00010000000000000111110001111100011100000000001000000010110000010111000100000000101;0.547095;33863;00000100001000000011110110001100011010100010001000000010110000000011000100000000111;0.395163;24459;0.494429;4
43;00000000001000000111110000111100011100001010001000000001100000010111000010000000101;0.550229;34057;00000100000100000111010000101100011101001010100100000010100000010001001010000001100;0.410479;25407;0.497292;4
44;00000000001000000111110000111100011100001010001000000000100000010111000110000000101;0.554075;34295;00110011000000000111100000111100011101000000000000010010100000110010001000100000100;0.376276;23290;0.494688;11
45;00010000001000000111110000111100011100000010001000000000100000010111000110000000101;0.555351;34374;00010000001000000110110000001101001101000110000000010011111000010001000100000010100;0.395728;24494;0.49714;7
46;00010000000000000111110000111100011100000010001000000011110000010111000100000000100;0.556643;34454;00000000000000000111010000001101011001001010000001000011100000110010100101100100100;0.376729;23318;0.49683;7
47;00000000001000000111110000111100011100000000001000000011110000010111000100000000101;0.552814;34217;00010000000000000110111000101100011100010010001100100011100000001001000100000000110;0.372124;23033;0.499584;8
48;00000000001000000111010000111100011010000100000100000010110000010111000110000000101;0.545173;33744;00000100001000000111011000011100011101000010001000100100100001000111010100000000000;0.400268;24775;0.500236;10
49;00000000001100000011110000111100011100001000001000000001100000010111000110000000101;0.556853;34467;00000000011000000111010000111100011010010100000100100010110000010001001100000000100;0.406117;25137;0.501488;1
50;00010000000000000111110000111100011100000010001000000000110000010111000110000000101;0.554818;34341;00010100000000000100010110111100010110000010001000000010000000010111100110000010100;0.395066;24453;0.499227;3
51;00010000000000000111110000111100011100000010001000000000110000010111000110000000101;0.554818;34341;00000000001010010111010000100100010010100110001000100010100000010011000110000000101;0.387521;23986;0.500995;6
52;00010000000100000111110000111000011100000010001100000011100000010111000100000000100;0.548388;33943;10010100010000000111001000101000010110000110001000100011110000010001000100000000100;0.376858;23326;0.501569;8
53;00010000001000000111110000111000011100000010000100000011110000010111000100000000100;0.55157;34140;00010100000000000111100000001000001110000110001000100011110000011011000110000000100;0.394856;24440;0.500498;12
54;00010000001000000111110000111000011100000010000100000011110000010111000100000000100;0.55157;34140;00010110001000000101110000100000011000000111001000000010000010010111000101011000000;0.378748;23443;0.500485;2
55;00010000000000000111110000101100011100000010001000000010110000010111000110000000101;0.553089;34234;00010000001000000111110000001101011010100010000100000011100010000011000110000000100;0.391011;24202;0.501948;5
56;00010000000000000111110000111100011100000000001000010001100000010111000110000000101;0.557516;34508;00010000001000000111110001100101011010100000011000000111100000010010000010000000100;0.368812;22828;0.502084;7
57;00010000000000000111110000111100011100000000001000010001100000010111000110000000101;0.557516;34508;00010000000000000111110001101000010011100010001000000011010000000011010010100000101;0.384225;23782;0.503874;6
58;00010000000000000111110000111100011100000000001000010001100000010111000110000000101;0.557516;34508;00010100001100000101110000111000010000100010001000100001001000010111000110000000001;0.389831;24129;0.504735;5
59;00010000000000000111110000111100011100000000001000010001100000010111000110000000101;0.557516;34508;00000000110010000111010000110100011000000010011100000001010001010111000100000000100;0.406133;25138;0.507419;6
60;00010000000000000111110000111100011100000000001000010001100000010111000110000000101;0.557516;34508;00010000000000001100010000111100011101000010001000010010001000010111000101000000101;0.402401;24907;0.506569;9
61;00010000001000000111110000111100011100000010001000010010100000010111000100000000100;0.555109;34359;00000000000101000111110001111000011100001100001000000010110000010000000110100001000;0.38933;24098;0.507555;11
62;00010000001000000111110000111100011100000010001000010010100000010111000100000000100;0.555109;34359;00010000000000000111110000101010011100000010001101000010100100110011001000000000100;0.403225;24958;0.510095;8
63;00010000001000000111110000111100011100000010001000010010100000010111000100000000100;0.555109;34359;00010000001000000111110001011100010100000010001000010011110000010011000010000000001;0.398055;24638;0.510224;13
64;00010000000000000111110000111000011100000010001000010011100000010111000100000000101;0.55338;34252;00010000100000001110100010101000011100000010001010000010110000011011000110000000100;0.392125;24271;0.507678;12
65;00000000000000000111110000111100011100001010001000010001100000010111000100000000101;0.553719;34273;00010000000000001111110001001100011010000010001100000110000000010101000000101000101;0.420803;26046;0.508027;6
66;00010000001000000111010000111100011100000010001000000001100000010111000110000000101;0.558469;34567;00010001000000100101010001011000001000000000001100010001111000010110000110001000101;0.393693;24368;0.507125;6
67;00010000000000000111110000111000011100000010001000010011100000010111000100000000101;0.55338;34252;00010000011000100111000000111000011110000010001000010010100000010010000100010100100;0.380283;23538;0.507843;15
68;00010000000000000111110000111100011100000010001100000010110000010111000100000000100;0.554236;34305;00010100000000100111110000101000011000000001001010010001010000000101000100000001111;0.375097;23217;0.508813;7
69;00010000000000000111110000111000011100000010001000010011100000010111000100000000101;0.55338;34252;00010000000000000111110000011000010000001110001000010000110000100011100110000000111;0.362366;22429;0.507705;7
70;00000000000000000111110000111000011100000010001100010010100000010111000110000000101;0.556029;34416;00010000000000000101110000111111010001010010001000010001000000010111000001000000101;0.427685;26472;0.510637;9
71;00010000001000000111110000111100011100000010001000000010100000010111000100000000101;0.555286;34370;00010000001000001101010000111100011100000000001000000011100100010011000101000000101;0.392336;24284;0.510532;11
72;00010000001000000111110000111100011100000010001000000010100000010111000100000000101;0.555286;34370;01010000001000000110110000001100010110000010001000000110000000010111100100000001101;0.419656;25975;0.51126;17
73;00000000001000000111010000111100011100000110001000010001100000010111000100000000101;0.553234;34243;00010000000011000111110000011000011000000110001000110010100000000011000110000000101;0.388878;24070;0.512241;5
