geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;10010010101010101110101101101001110100000110001101001011011001010111100110010001101;0.998401;61797;11101100001001011110100111100010001101100011010010100101000111111011111000100000011;0.786303;48669;0.914608;1
1;10010010101010101110101101101001010100000110000100001011011001010111101011100111011;0.984393;60930;11001100111010001110011110110101101000000000010101101101001101101011111000100011010;0.823704;50984;0.933278;1
2;10011010101001010110010111011001110100000110000101001011010001010111100111001001111;0.993424;61489;10111100101001001110111110110000001010100101001000001111001111100001110011011100001;0.841298;52073;0.943091;2
3;11010010101010101110000011110100110000011101001100101011110101000010001110010110111;0.988044;61156;10110100101011110100010100011001011101100111011001000001000000011001011111110101011;0.855661;52962;0.949923;1
4;10010010101010101110101101111001110100000110000100001011010001010111100111001001111;0.993651;61503;10001001000111011101101100001001111111001001000010100011101011011000110000111111100;0.904194;55966;0.957413;2
5;10011100101110001010001011101010010100011010011011110001101001010010010111001001111;0.989644;61255;00011011101001110111010111010001011100110001100011001000001100010010110011010101111;0.888943;55022;0.962153;2
6;01010010101000101110010011101110000011101010001101000011111001010010001110110110111;0.98903;61217;11001000100001101000001001111110110110101100010100110011011011111101100001110000011;0.900979;55767;0.965504;4
7;10011010101001110110111111011001110001000010011000010011000110110110101110000001101;0.990726;61322;10111011001001000110011101011100110000000111010000100011000011011011010111111001011;0.864111;53485;0.968187;2
8;10011010100110101110101101000011010110100010001010001111011110010111010110000001011;0.993214;61476;00011000110001010011011011101100000101100010010011001001100110010111100111011110111;0.911901;56443;0.971633;2
9;11010101101100101110100111001000011101001010001110001110011000110101000110110001101;0.99273;61446;00010001111111011100000010011110010010110001011010111110011000110101000111100100101;0.903758;55939;0.973715;2
10;10011010101010101110101101001001010100000011110100110011001100110111000111001001101;0.995202;61599;01110110011001110110111110000101100001011010001010100111100111000101000100110010110;0.926958;57375;0.976535;1
11;11011010101000101110101101001001010100000011110100110011001100110111000111001001101;0.995848;61639;10111100101000010110101011101001010111011101010001000101000110001011100111001011001;0.826015;51127;0.97872;2
12;11110111111101000010011101001000010100000011101110001110011000110101010101010001101;0.993521;61495;11010100100100101110100111000001110110001011001000010101011110010010111111100101001;0.921578;57042;0.980745;3
