geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;00000000000000000000100000000000000000010000000000001000110000010100000010000000000;0.178687;11060;00000001000100000000010000000001000000000000100000000101000000000000000000000100000;0.000533152;33;0.0435052;1
1;00000000000000000010010000000010001110000000000000000000000001000100000000000000000;0.194681;12050;00000000000100001100000000000010000000000000010000000000000000000000000010000100100;0.00138943;86;0.0551263;2
2;00000000000000000010110000000010001110000000000000000000100000000000000000000000000;0.228092;14118;01000000100001000000000000000000100000000000001000000000000000001000000000000010010;0.00140558;87;0.0673338;1
3;00000000000000000000110000000000000000000100000000000001010000000101000000000000100;0.25845;15997;00001000000000000000001000000010000000100100001000000000000000000010000000010000000;0.0047499;294;0.0863582;3
4;00000000001000000010000000000010001010000000000000000000000000000101000000000000100;0.269662;16691;00000100000000000000000001000000000010100000000000100000010010000000000000010000000;0.00706023;437;0.0983697;4
5;00000000001000000010000000000000001000000000000000000001010000000101000000000000100;0.294672;18239;00000010000000101000000000000001000010000000100001000000000000000000000000001000000;0.00504071;312;0.12946;3
6;00000000000000000010010000000010001010000000000000000000000000000101000000000000100;0.267691;16569;01000010000000000000010000000000000000000100000000100010100000000000000000010000000;0.0114385;708;0.145089;3
7;00000000000000000011110000000000000100000000000000000000000000000101000000000000100;0.328341;20323;00000000001000101000000000010000000000000000000000100000000000010000000000000101000;0.0254459;1575;0.166367;3
8;00000000000000000011110000000000000100000000000000000000000000000101000000000000100;0.328341;20323;00000100000001000001000000000011000000000000000000000010000001000100000000000000000;0.0395664;2449;0.190627;7
9;00000000000000000011110000000000000100000000000000000000000000000101000000000000100;0.328341;20323;00010000000000000010000100000010001000001000000000000000001000000100000000000000000;0.0854659;5290;0.202875;6
10;00000000000000000011110000000000000100000000000000000000000000000101000000000000100;0.328341;20323;00000000000001000010100000100000000000000000000000000010000000000010101000000000000;0.0972276;6018;0.217941;9
11;00000000000000000011110000000000000100000000000000000000000000000101000000000000100;0.328341;20323;00000000000000000000010000000010000010000100000000000100000000000101000000000010000;0.105015;6500;0.229678;8
12;00000000000000000011110000000000000100000000000000000000000000000101000000000000100;0.328341;20323;00001000100100000000110000000000001010000000000000000000000000000001000000000000000;0.115726;7163;0.229233;11
13;00000000000000000010110100000000000000000000000000000000100000000110000000000000100;0.319875;19799;00000000000000000010010000000000000010000000000000000110010100000100000000000000000;0.0821216;5083;0.237523;9
14;00000000001000000010110000000000000000000000000000000000100000000110000000000000100;0.322283;19948;00000000000000000010010000000011011000000000010000000000000000000000000000000000100;0.121171;7500;0.240504;7
15;00000000000000000011110000000000000000000000000000000000100000000110000000000000100;0.365823;22643;00000000000000000000110000000010001000000000000100000000000000001001000000000000100;0.117568;7277;0.250643;12
16;00000000000000000010110000001000000000000000000000000000100000000101000000000000100;0.346291;21434;00000000000000000110110000000000000000000000000000000000000000101101000000000000000;0.178994;11079;0.263903;18
17;00000000000000000011110000000000000000000000000000000000100000000110000000000000100;0.365823;22643;00000000001000000010000110000000000000000000000000000000000011000101000000000000000;0.0941418;5827;0.280645;25
18;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00100000000000000010100001000100000000000000000000000000100000100001000000000000000;0.121833;7541;0.275489;12
19;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;01000000000000000010100000000000000110000000000100000000000000000100000000010000000;0.134112;8301;0.285129;25
20;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00010000000000001010110000000000000000000000000000000000000000000010000000100000100;0.129233;7999;0.300093;25
21;00000000000000000010100000000000000100000000000000000000100000010110000000000000100;0.382577;23680;00010000000000000000110000000000001000100000000000000001000000000101000000000000000;0.138183;8553;0.30246;17
22;00000000000000000010100000000000000100000000000000000000100000010110000000000000100;0.382577;23680;00000000000000000010001000000000011000000000000000000000100000000010000000000000101;0.173194;10720;0.30722;24
23;00000000000000000010100000000000001000000000000000000000100000010110000000000000100;0.389427;24104;00000000000000000011100010000000000010000000000000000000100000000001000000000000100;0.219449;13583;0.325473;29
24;00000000000000000010110000000000000000000000000000000000100000010110000000000000100;0.392481;24293;00000000000010000011100000000001000000000000000000000000100000000001000000000000100;0.184261;11405;0.325816;27
25;00000000000000000010100000000000000100000000000000000000100000010110000000000000100;0.382577;23680;00000000000000000010100000000000001000000000000000001000100000000001000000000100100;0.18069;11184;0.337348;43
26;00000000000000000010010000000000001000000000000000000000100000010110000000000000100;0.381333;23603;00000000000000000010110000000000000000000000000000000001101000000010000000000000100;0.16951;10492;0.330646;37
27;00000000000000000010110000000000000000000000000000000000100000010110000000000000100;0.392481;24293;00000000000000000011010000000000000000000010000010000000100000000000000000100000100;0.172499;10677;0.330217;37
28;00000000000000000010100000000000000100000000000000000000100000010101000000000000100;0.379088;23464;00000000000000000010010000000000001010000000000000000000110000000000000000010000100;0.191418;11848;0.329205;39
29;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00001000000000000010010000000001000000000000000000000001100000000001000000000000100;0.160091;9909;0.318535;25
30;00000000000000000010110000000000000000000000000000000000100000010110000000000000100;0.392481;24293;00000000000010000010010000000000001000000000000000000000100100000110000000000000000;0.189108;11705;0.326388;32
31;00000000000000000010110000000000000000000000000000000000100000010110000000000000100;0.392481;24293;00000000000000100011010000000000000000000000100000000000100000000001000000000000100;0.180981;11202;0.325925;33
32;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000100000000000010010000000000000000000000100000000000100000000101000000000000010;0.193244;11961;0.331464;42
33;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000100000000011110000000000000000000000000000100000000000000101000000000000000;0.213116;13191;0.337998;51
34;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000000000011100000000000000010000000000000000000000000001100000000010000100;0.215087;13313;0.33947;47
35;00000000000000000011110000000000000000000000000000000000100000010100000000000000100;0.375016;23212;00000000000000000011010000000000000000000010000000000000100000100001000000000000100;0.223455;13831;0.344919;56
36;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000000000011110000000000000000000000000000000000000000000101000000000101000;0.212001;13122;0.342182;58
37;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000000000011110000000000000000000000000000000000100000001001000000000000100;0.233828;14473;0.344213;63
38;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000000000011110000001000000000000000000000001000100000000000000000000000100;0.188801;11686;0.346341;65
39;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000000000011110000000000000000000000000000100000100000000001000000000000100;0.234393;14508;0.345816;69
40;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000010001011110000000000000000000000000000000000000000000001000000000000100;0.211516;13092;0.352121;73
41;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000000000011110000000000000000000000000000000000100000000101000000001000000;0.27173;16819;0.352944;70
42;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000000000011110000000000000000000000000000000000100000000001001000000000100;0.24294;15037;0.353233;72
43;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000000000010000011110000000000000000000000000000000000100000000001000000000000100;0.23365;14462;0.349109;68
44;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;00000100000000000010110000000000000000000000000000000000100000000001000000000100100;0.198494;12286;0.345637;65
45;00000000000000000011110000000000000000000000000000000000100000000101000000000000100;0.368618;22816;10000000000000000011100000000000000000000000000000000000100000000001000000000001100;0.196507;12163;0.345698;64
46;00000000000000000011010000000000000000000000000000000000100000010101000000000000100;0.384807;23818;00000000000001000011100000000000000000000000000000000010000000000100001000000000100;0.21024;13013;0.348754;66
47;00000000000000000011010000000000000000000000000000000000100000010101000000000000100;0.384807;23818;00000000000001000011010000000000000000000000000000000000100100000001000000000000100;0.185925;11508;0.351842;76
48;00000000000000000011010000000000000000000000000000000000100000010101000000000000100;0.384807;23818;00000000000000001011010000000000000000000000000000000000100001000101000000000000000;0.217801;13481;0.352794;74
49;00000000000000000011100000000000000000000000000000000000100000010101000000000000100;0.389847;24130;00000000000000000011110000000001000000000000000000000000100000000001000000000000100;0.233795;14471;0.351047;67
50;00000000000000000011110000000000000000000000000000000000100000010100000000000000100;0.375016;23212;00000000000000000011010000000000010000000000000000000000100001000001000000000000100;0.195376;12093;0.35856;82
51;00000000000000000011100000000000000000000000000000000000100000010101000000000000100;0.389847;24130;00000000000000000011110000000000000000100000000000000000100000000001000000000000100;0.236768;14655;0.359185;80
52;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000001000011110000000000000000000000000000000000100000000001000000000000100;0.234603;14521;0.351513;67
53;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000000000011110000000000000000000000000000000000100000000001010000000000100;0.23491;14540;0.351954;62
54;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000000000001110000000001000000000001000000000000100000000101000000000000000;0.202242;12518;0.350706;60
55;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000000100011100000000000000000000000000000000000100000001001000000000000100;0.186943;11571;0.340774;49
56;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;01000000000000000010110000000000000000000000000000000000100001000001000000000000100;0.182451;11293;0.342984;52
57;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000010000000000001110000000000000000000000000000000000100000000101000001000000000;0.220305;13636;0.342632;46
58;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000000000001110000000000000000000001000000000000100000000101010000000000000;0.204181;12638;0.34705;45
59;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000000000001110000000000000000000000100000000000100000010001000000000000100;0.224764;13912;0.34506;38
60;00000000000000000010110000000000000000000000000000000000100000010101000000000000100;0.393159;24335;00000000000000000010100000001000000000000000000000000000100000010001000000000010100;0.230015;14237;0.351949;46
61;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000010110000000001000000000000000000000000100000010001000000000000100;0.240096;14861;0.353383;45
62;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000011100000000000000000000000000000000000100000010000000100001000100;0.218819;13544;0.36542;59
63;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000010110000000000000000000000000000100000100000010001000000000000100;0.2405;14886;0.36554;59
64;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00000000000000000010110000000000100100000000000000000000100000010000000000000000100;0.222793;13790;0.371431;65
65;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000100000000011010000000000000000000000000000001000100000000001000000000000100;0.189996;11760;0.374866;63
66;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000010110000000000000000000000000000001000100000000101000000100000000;0.215151;13317;0.374549;63
67;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000010110000000000000000100000000000000000100000000001001000000000100;0.191176;11833;0.373545;67
68;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00000000000000000111000001000000000000000000000000000000100000010001000000000000100;0.261552;16189;0.379192;70
69;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00000000000000000010110000000000000000000000000000000000100000010001010000000000100;0.243021;15042;0.371993;65
70;00000000000000000010100000000000000000000000000000000000100000010111000000000000100;0.398426;24661;00000000000000000111000000000000000000000000000000100000100000010000000000000000110;0.214618;13284;0.373608;63
71;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00010000000000000010100000000000000000000000000000100000100000010000000000000000110;0.17405;10773;0.374895;63
72;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000111000000001000001000000000000000000000100000010001000000000000000;0.257933;15965;0.37887;70
73;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000010000000111000000000000000000000000000000000000100000010001000000000000100;0.248708;15394;0.375694;67
74;00000000000000000110000000000000001000000000000000000000100000010101000000000000100;0.402142;24891;01000000000000000011000000000000000000000000000010000000100000010001000000000000100;0.212518;13154;0.370616;63
75;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000111000000000000000000000000000000100000100000010001000000000000100;0.248611;15388;0.367581;57
76;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00001000000000000110100000001000000000000000000000000000100000010000000000000000100;0.218883;13548;0.36118;54
77;00000000000000000111000000000000000000000000000000000000100000010101000000000000100;0.397215;24586;00000000000000000111000000000000000000000100000000000000100000010001000000000000010;0.233876;14476;0.368663;61
78;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00000000001000000111000000000000000000000000000000000000000000110101000000000000000;0.234587;14520;0.375415;65
79;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00000000000000000001000000000000000000100000000000010000010000010111000000000000000;0.224699;13908;0.378104;73
80;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00000000000000000111000000000000000000000000000000000000100000011001000000000000100;0.247674;15330;0.381014;75
81;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00000000000000000101000000000000000000000000000001000000000000010101000000100000100;0.266318;16484;0.38643;77
82;00000000000000000111000000000000000000000000000000000000100000010110000000000000100;0.397716;24617;00001000000000000111000000000000000000000000000000000000100000010001000000000000100;0.247722;15333;0.38329;73
