geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;00110010101010101110111110100110000110101100110101010011010010010101100100110000111;0.98134;60741;11101100001001011110100111100010001101100011010010100101000111111011111000100000011;0.786303;48669;0.914477;1
1;11010110101110000100100011111011001000000111000100110011101000110001111101110001110;0.982503;60813;11001110100010000011101010010001010111010111111001001110000010110001001111011110010;0.810036;50138;0.926298;3
2;11010001101000001101011101010010010010010110101101111010111001110010100101000101101;0.982374;60805;11111011000001000100111000110111101011000111100000011111000111000001111000101110001;0.788032;48776;0.932328;1
3;01110110001110000101011001111010011110001000010010110110110100100110001111000101110;0.985508;60999;11101001000000101000001111110110010111011000001001010101110111101111110000000101110;0.824044;51005;0.936582;1
4;10100110110110100110011100100101010100001111011010001101010000110100001001011110111;0.984361;60928;01110001100000011111011111100001000100101111110011010001000011111011011001000011001;0.80813;50020;0.942026;1
5;01010110110111110110010110101001110011000001001010100001011001010110000101101110101;0.984716;60950;11011100100001010101111111111110101110010110001001001000000001010011111110001000001;0.795673;49249;0.941837;1
6;10011110101011010100011111100001010100100010001000111010001101111100100101100010111;0.988448;61181;10111001110100010100110110111011101010110000010010000100100101011000110110111011010;0.820037;50757;0.946311;1
7;10010110110110000101101110011001101100011000011100011101010000101111001111010001001;0.984232;60920;11100011011100001100111111010101110010100010111110001111000110000000100011110100001;0.83259;51534;0.948296;2
8;01010000111110010101111101100001011001010110001001110001100000110111001011011000111;0.986752;61076;01111011101110010010110011001110100110101101010001010000000001000001111101011110011;0.880671;54510;0.951493;1
9;10111010101000000111001111001110011001001110000101000101100011100101101101100101101;0.987511;61123;00011000111010001001111111101011011101110110000011000011010001111000000111101010001;0.833301;51578;0.950002;1
10;11111111001100000011001101011100000001000110001100110101100011011101100110111100100;0.987253;61107;10000100110110000001001101010100111111111110111111010000011110011000011010001100001;0.837954;51866;0.950256;1
11;10011010101100001110001101101100101010001110010110110110110100010111001011010100010;0.987107;61098;00100100111000000011111101111110000111001110000101000101000011100011101111100111001;0.85083;52663;0.953765;1
12;10011010101000010110011101001111001111000110011100110011100101110101010101000001001;0.989967;61275;10010111100101001101111101110000010011111101000010001001000110010001011001011110011;0.836193;51757;0.955428;1
13;10110001101110000110101101101101000100000001010111100011010010011111000110011101101;0.990839;61329;10111101000101011111100111111000001111010010010010011011000010010011000011100101001;0.841185;52066;0.956909;2
14;10011010101100001110001101101100101010001111010110100010010001111100000111010010111;0.990419;61303;01101001110000010011001111101101101111010110000010110010000010101011011111010001010;0.801166;49589;0.956495;1
15;10111010101100101011101101101101001100000001010111100011010010011111001111000001000;0.990985;61338;10010001111010000111111101111011011110000100110000001011011000010010001111010101001;0.870363;53872;0.958003;2
16;10111010101000000110101101111101001100011110001000010011111010011110010111000001010;0.99176;61386;10010110101110101111111000110011011111000001011110010100110011001010010101000000010;0.878474;54374;0.960207;1
17;10010110111110010010010111101011110011000011001010100101110101000011000101010000111;0.990985;61338;11011010001111100100010111100110100111110110010110011010010010011010101010010000010;0.878247;54360;0.960396;1
18;01010110100110000100101110011010111010000110001110000110110100010111010111100110011;0.990516;61309;01000010101100110000000011010010101111010011001111010111110100010111000111010001111;0.859732;53214;0.961664;1
19;01011110101010000110010111010001001001110010011110011011010101010111000110010000111;0.990048;61280;11011110101101011101010111010111011110110100110010010100010100000010101000100000011;0.888733;55009;0.962599;1
20;10011010101000011110001110111001011000101110010111000001011001110111000110010001011;0.992617;61439;01100101101111000111010111101111011010111100000110110100000010100001001101010000011;0.899719;55689;0.965043;1
