geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;1000011010000000000001000101100101010100001;0.408897;5552;1001000100011000010000101000101101000001000;0.0268081;364;0.166095;1
1;0000001110000010111000100111010100000000000;0.693033;9410;1000100000001001000100010100001100100010011;0.051333;697;0.269361;1
2;0000011010100001001000001101010110010000000;0.662911;9001;1000000100000001100010100000000101110001011;0.161069;2187;0.363387;1
3;0000010010100001100110000101010100110000000;0.706584;9594;0000000000010000100110100001011001110110000;0.192149;2609;0.440326;4
4;0000101010100011000101001111000000010000000;0.737148;10009;0001011100000000111000100001010000110010000;0.270953;3679;0.521065;3
5;0000011010100010000110101101000000110000000;0.743703;10098;0000001000100001101001001010100101100000010;0.115555;1569;0.577539;7
6;0000011010100010000011001111000100100000000;0.757033;10279;0100011100000001101000001101010100100000000;0.341508;4637;0.620228;13
7;0000011010100010000011001111000100100000000;0.757033;10279;0000011000100000011100001111010100000010000;0.358963;4874;0.64683;4
8;0000011110000001101010001101000100010000000;0.760274;10323;0000011100100011110010001011000000100000000;0.39181;5320;0.657688;4
9;0000011110000011000100001111000000110000000;0.77655;10544;0000000000100010110010101111010100000000001;0.412285;5598;0.688771;7
10;0000011010100010010010001111000100100000000;0.777581;10558;0000110001000010001010001110010100100000010;0.288481;3917;0.69275;13
11;0000011010100011000100001111000100010000000;0.77957;10585;0000101100000001111100101011000000010000000;0.191928;2606;0.690916;8
12;0000011010100011000100001111000100100000000;0.77795;10563;0100010010000010010100101110010100010000000;0.420607;5711;0.700642;7
13;0000011010100011000100001111000100010000000;0.77957;10585;0000011010100011110010001110000000000010000;0.461482;6266;0.708978;12
14;0000011010100011000100001111000100010000000;0.77957;10585;0000001000000011010100101111000100100001000;0.408676;5549;0.710012;14
15;0000011010100010011010001111000000100000000;0.77957;10585;0000000110100010100110101111010000000000000;0.479673;6513;0.717896;22
16;0000011010100010110010001111000100000000000;0.781706;10614;0000011000100010110110001111000100000000000;0.502357;6821;0.729984;18
17;0000011010100010011010001111000000010000000;0.781411;10610;0000011000110010010010001111000100000000100;0.46951;6375;0.727821;25
18;0000011010100010110010001111000100000000000;0.781706;10614;0000010010100011000100101101000100010001000;0.489837;6651;0.746143;31
19;0000011010100010110010001111000100000000000;0.781706;10614;0000010010100010011010001111000000010010000;0.529018;7183;0.752278;36
20;0000011010100010110010001111000000010000000;0.782148;10620;0010011010000010010010001111100100000000000;0.557961;7576;0.756824;43
21;0000011010100010110010001111000000010000000;0.782148;10620;0000010010100010110010001111000000011000000;0.531963;7223;0.760895;53
22;0000011010100010110010001111000000010000000;0.782148;10620;0000011010100010010010001011001000010010000;0.485712;6595;0.752312;60
23;0000011010100010110010001111000000010000000;0.782148;10620;0000011000110010110010001111000000100000000;0.488732;6636;0.758944;61
24;0000011010100010100010001111000100010000000;0.787966;10699;0100011010100010010011001011000100000000000;0.401532;5452;0.758571;71
25;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010011011001111000000000000000;0.558919;7589;0.77128;77
26;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010110010001111100000000000000;0.561349;7622;0.77317;81
27;0000011010100010100010001111000100010000000;0.787966;10699;0000011010110010110010101011000000000000000;0.415304;5639;0.769031;81
28;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010110010001111000000000010000;0.563264;7648;0.773517;84
29;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010110110001111000000010000000;0.543379;7378;0.770697;82
30;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010110010001011000010010000000;0.514141;6981;0.770228;82
31;0000011010100010100010001111000100010000000;0.787966;10699;0000011000100010110010001111010000010000000;0.576079;7822;0.774296;78
32;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010110010011111000000000000000;0.567904;7711;0.773386;78
33;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010110010001111000000011000000;0.531963;7223;0.769568;76
34;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010101010001111001000010000000;0.521137;7076;0.767432;74
35;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010001001000101010000010;0.479526;6511;0.767229;71
36;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010001011010000010100000;0.559729;7600;0.777269;80
37;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010001110000100010001000;0.636839;8647;0.778946;79
38;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010001110000100110000000;0.66814;9072;0.78235;84
39;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100110100010001110000100010000000;0.649948;8825;0.782219;90
40;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010101010001011000100010000000;0.691118;9384;0.783225;90
41;0000011010100010100010001111000100010000000;0.787966;10699;0000011000100010100010001111000100010000010;0.698998;9491;0.78631;96
42;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010001110001100010000000;0.634335;8613;0.785483;96
43;0000011010100010100010001111000100010000000;0.787966;10699;0000011000100010100010001111000100010010000;0.703786;9556;0.786454;97
44;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010101011000100010000000;0.6526;8861;0.785411;95
45;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100000100010001111000100010010000;0.718147;9751;0.785732;96
46;0000011010100010100010001111000100010000000;0.787966;10699;0000011010000010101010001111000100010000000;0.756076;10266;0.786931;95
47;0000011010100010100010001111000100010000000;0.787966;10699;0000011000100010100010001111000100010100000;0.695537;9444;0.785514;94
48;0000011010100010100010001111000100010000000;0.787966;10699;0000011100100010100010001111000100010000000;0.731404;9931;0.786816;97
49;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100011100010001110000100010000000;0.63949;8683;0.78378;95
50;0000011010100010100010001111000100010000000;0.787966;10699;0000011011100010100010001011000100010000000;0.662837;9000;0.784857;96
=============================================
