geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0010001010010010010000100111000100000000101;0.435631;5915;0101000000000000000001010010011101101010010;0.0247459;336;0.129567;1
1;0000001100110011001010000001011100000000010;0.380984;5173;1010010100010100000001000010110011000000100;0.021579;293;0.157737;2
2;0000001010010000010001000011010100110001100;0.493887;6706;0110000000010000000001010001101010110101000;0.0373398;507;0.19079;6
3;0010001010000010000010000101010000110011100;0.580645;7884;0010000001011000000001010100100000110010011;0.0308587;419;0.225328;3
4;0000011000100010000100100111000001110000010;0.594344;8070;1110000100000010100000000000110111000100100;0.0751952;1021;0.259593;5
5;0000001000100010010010000111001100110000100;0.647518;8792;1000000101100001010000000011001000110100010;0.0665046;903;0.287082;9
6;0000100111000010000110000101000101110000000;0.65643;8913;0000001000101000010010010001001110010000011;0.0978053;1328;0.316305;3
7;0000011010100110000010001101000101010000000;0.729342;9903;0010010100001000100010000111001010001000100;0.0899985;1222;0.359202;5
8;0000001110000011011010100101000000110000000;0.713581;9689;0000100000010000110010000111001000000111001;0.140227;1904;0.402064;6
9;0000011010100010010011000111010100000000000;0.715864;9720;0010001010010000001000001011100010100000011;0.13544;1839;0.434437;10
10;0000001011000010010010001101000100110000100;0.712402;9673;1000000100000001010110000011000100110001001;0.171527;2329;0.479829;9
11;0000001010100011010010000111000000111000000;0.705406;9578;0000001000110100000100010000011100111010000;0.144793;1966;0.509919;5
12;0000001010100010110010000101000100011010000;0.71498;9708;0100101000110010001000100000011000110010000;0.166814;2265;0.529699;7
13;0000001010100010011010100111000000110000000;0.722345;9808;0001100010010001000100010110001110000001000;0.18228;2475;0.553641;6
14;0000001010000010110010001111000000110100000;0.735454;9986;0010001000100110000001100100101100100010000;0.205185;2786;0.573871;12
15;0000101010000010100010001111000100110000000;0.744955;10115;0000100100111010100000000011001000010011000;0.137796;1871;0.584847;15
16;0000001010000010110010001111001000110000000;0.738106;10022;0010100100000010000101001011001001110000000;0.141994;1928;0.591373;6
17;0000001010100010010110001111000100010000000;0.759832;10317;0000100000100000010010000111001100100111000;0.191339;2598;0.610785;19
18;0000011010100001010010001111000100100000000;0.767933;10427;0000101000110100011000001011000000010011000;0.166151;2256;0.619655;18
19;0000001010100010010110001111000100010000000;0.759832;10317;0000101000100001000010011001000110110000010;0.221093;3002;0.627121;15
20;0000011011100010000010001111000100100000000;0.764693;10383;0110001010000010011100101000000100010000010;0.299897;4072;0.631997;14
21;0000011010100010100010101101000100010000000;0.763294;10364;0010110000010000010010010101000100010100001;0.169686;2304;0.634482;12
22;0000101010100010100010001111000000110000000;0.774414;10515;0000011000100010010100010001000000111100100;0.246207;3343;0.643778;24
23;0000011010100010010010001101000100110000000;0.773236;10499;0010000010100110101010010100000110100000000;0.325232;4416;0.655847;17
24;0000011010100010010010001101000100110000000;0.773236;10499;0100001000011010100000010111100000000000011;0.141405;1920;0.662431;15
25;0000011010100010010010001101000100110000000;0.773236;10499;0010001001110000101010001111000000000100000;0.267933;3638;0.664014;25
26;0000101010100011010000001111000000110000000;0.767933;10427;1000000010010101000000001111000101011000000;0.327368;4445;0.674253;25
27;0000111010100011000000001111000100100000000;0.778907;10576;0000100100000001010010001111001000110000001;0.225954;3068;0.671864;18
28;0000011010100110100010001111000000100000000;0.775961;10536;0000001010000111100010011001000100010010000;0.314406;4269;0.678998;18
29;0000011010100010010010001111000000110000000;0.777802;10561;0001010010100010100010001011000001011000000;0.306673;4164;0.676586;23
30;0000011010100110100010001111000000100000000;0.775961;10536;0000101000100100010010001001100100110001000;0.228826;3107;0.681256;32
31;0000011010100010010010001111000000110000000;0.777802;10561;0000110010100010000110001001000100110001000;0.360657;4897;0.684994;35
32;0000011010100010100010001101000100110000000;0.780748;10601;0001001010010110000110011011000000010000000;0.31006;4210;0.681027;32
33;0000011010100011000100001111000000110000000;0.778097;10565;0000011000000010110011001101000000110000010;0.364266;4946;0.689861;41
34;0000011010100010010010001111000100010000000;0.779275;10581;0000001000010101010110001101010000110000000;0.288408;3916;0.68345;25
35;0000011010100010010010001111000100010000000;0.779275;10581;1000010010100010010010001010000110010100000;0.298719;4056;0.691443;45
36;0000011010100010101010001111000100000000000;0.781927;10617;0010101010100101000001001001000100010000100;0.377081;5120;0.691341;38
37;0000011010100010010010001111000100010000000;0.779275;10581;0000110010100111100010001001000000110000000;0.347916;4724;0.697823;59
38;0000011110000010011010001111000000010000000;0.77957;10585;0000010010100010010111001011000000110000000;0.35204;4780;0.701974;59
39;0000011010100010110010001111000000010000000;0.782148;10620;0000010100100010000110001100000001111001000;0.291943;3964;0.695921;43
40;0000011010100010110010001111000000010000000;0.782148;10620;0000111010010011000110001011000000010000000;0.363824;4940;0.700121;56
41;0000011010100010010010001111000000110000000;0.777802;10561;0000001110000100001011001001000000110001100;0.38231;5191;0.702104;56
42;0000011110000010100010001111000100010000000;0.779128;10579;1001001011100010000010001001000001011000000;0.318677;4327;0.708017;54
43;0000011010100010010010001111000100010000000;0.779275;10581;0000010010100010010010011001000110110000000;0.336132;4564;0.708376;54
44;0000011010100010100010001111000100010000000;0.787966;10699;0000110010100010000010011001100010110000000;0.298498;4053;0.714957;54
45;0000011010100010100010001111000100010000000;0.787966;10699;0000000011000001110010001111000000111000000;0.413537;5615;0.714424;48
46;0000011010100010100010001111000000110000000;0.786566;10680;0000000011100110010010001001100000110000010;0.321697;4368;0.705954;61
47;0000011010100010100010001111000000110000000;0.786566;10680;0000100010100010011010011001000000100001001;0.329356;4472;0.714293;66
48;0000011010100010100010001111000100010000000;0.787966;10699;0010010000000001010010001101010100100011000;0.278392;3780;0.708166;54
49;0000011010100010100010001111000100010000000;0.787966;10699;1010011000000010010000111011000100100000000;0.20327;2760;0.709904;76
50;0000011010100010100010001111000100010000000;0.787966;10699;0000011000100010010110101001001100010000000;0.293489;3985;0.719534;78
51;0000011010100010100010001111000100010000000;0.787966;10699;0001010010010010000111001011000000110000000;0.300118;4075;0.71941;73
52;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010010010001011000001110001000;0.338194;4592;0.712762;78
53;0000011010100010100010001111000100010000000;0.787966;10699;0000101010000011000010011001000001110100000;0.297025;4033;0.710033;76
54;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100011000110001011000100010001000;0.3597;4884;0.727773;83
55;0000011010100010100010001111000100010000000;0.787966;10699;0100111010110010100000001001000000100000010;0.34033;4621;0.721744;77
56;0000011010100010100010001111000100010000000;0.787966;10699;0000011000100010010110011011000100010000000;0.372588;5059;0.729554;91
57;0000011010100010100010001111000100010000000;0.787966;10699;0000010000100110010010011101001100010000000;0.325011;4413;0.7252;96
58;0000011010100010100010001111000100010000000;0.787966;10699;0010110010100011000010001011000100010000000;0.35587;4832;0.721266;79
59;0000011010100010100010001111000100010000000;0.787966;10699;1001011010000010100010001001000100010010000;0.309324;4200;0.723676;114
60;0000011010100010100010001111000100010000000;0.787966;10699;0000010011000010010010001111000101010000000;0.441155;5990;0.731792;103
61;0000011010100010100010001111000100010000000;0.787966;10699;0000011011100010000010001001000111100000000;0.362204;4918;0.739295;124
62;0000011010100010100010001111000100010000000;0.787966;10699;0000000010000011100010001111100010110000000;0.434379;5898;0.732311;121
63;0000011010100010100010001111000100010000000;0.787966;10699;0000001010110010100010001011000000100101000;0.368906;5009;0.729922;129
64;0000011010100010100010001111000100010000000;0.787966;10699;0010011110000010100010101001000000010001000;0.366107;4971;0.734208;140
65;0000011010100010100010001111000100010000000;0.787966;10699;1010001010100010100010001011000000100010000;0.360215;4891;0.736701;151
66;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010110010101011001000100000000;0.33245;4514;0.745112;165
67;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010001001000000111001000;0.477022;6477;0.752756;191
68;0000011010100010100010001111000100010000000;0.787966;10699;0000111000001010100010001111010000100000000;0.390337;5300;0.751623;210
69;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010100010011011000000110000001;0.330903;4493;0.760058;245
70;0000011010100010100010001111000100010000000;0.787966;10699;0100010010000010100010001111000101010000000;0.436589;5928;0.762794;267
71;0000011010100010100010001111000100010000000;0.787966;10699;1100011010000010101010001101000000010000000;0.470172;6384;0.769447;287
72;0000011010100010100010001111000100010000000;0.787966;10699;0001011000001010100010001111000100010000000;0.480115;6519;0.773948;304
73;0000011010100010100010001111000100010000000;0.787966;10699;0001011010100010100010001111000000000100000;0.542422;7365;0.772805;293
74;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100011100010001001100100010000000;0.490794;6664;0.773484;314
75;0000011010100010100010001111000100010000000;0.787966;10699;0100011000100010100010001111000100000010000;0.477243;6480;0.771471;307
76;0000011010100010100010001111000100010000000;0.787966;10699;0100011010000110100010001011000100010000000;0.430108;5840;0.770518;294
77;0000011010100010100010001111000100010000000;0.787966;10699;0001011000100110100010001111000100000000000;0.489247;6643;0.770353;294
78;0000011010100010100010001111000100010000000;0.787966;10699;0010010000100010100011001111000100010000000;0.381352;5178;0.767841;299
79;0000011010100010100010001111000100010000000;0.787966;10699;0000011010100010100010001110000100010100000;0.6308;8565;0.771436;302
80;0000011010100010100010001111000100010000000;0.787966;10699;0100010000100010100010001111000100010000001;0.365149;4958;0.766642;288
81;0000011010100010100010001111000100010000000;0.787966;10699;0000011000100010100010101011000100010010000;0.368685;5006;0.767928;293
82;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010100010001101010100011000000;0.498159;6764;0.766917;290
83;0000011010100010100010001111000100010000000;0.787966;10699;0001010010100010100010010111100100000000000;0.440713;5984;0.769826;299
84;0000011010100010100010001111000100010000000;0.787966;10699;0000010010100010101010001111000000010001000;0.531374;7215;0.770674;300
85;0000011010100010100010001111000100010000000;0.787966;10699;0000111000110010100010001111000000010000000;0.565032;7672;0.771459;299
