geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000111110100011100111010111010010110000101;0.651348;8844;1001110100011000110001000011111011001001111;0.0636323;864;0.316814;1
1;1010011110100011001111001111010000110010100;0.640816;8701;1100111100010101001110111000010111100100001;0.110841;1505;0.373322;2
2;0000111111100011101011001111010001110010000;0.674694;9161;0010110101101001100101000111010000101110111;0.159817;2170;0.434609;2
3;0000111111100011101011001111010001110010000;0.674694;9161;1001111111101000100011000001010000111110101;0.229415;3115;0.483971;3
4;0000111111100011100011001111010100110010001;0.694727;9433;1000011110000110110010101110110001110101001;0.267712;3635;0.522724;1
5;0000111111100011100110001111010100110010001;0.709898;9639;0000111111010011100011100001110100110110001;0.274709;3730;0.556231;3
6;0000111110100011111010010111110100110010000;0.726396;9863;1010011100111011000101000111010011110010100;0.251436;3414;0.584473;5
7;0000111110100011111010010111110100110010000;0.726396;9863;1010011101111011000101000101010010111010100;0.250331;3399;0.620582;7
8;0000111110100011111010010111110100110010000;0.726396;9863;1000111110000111101010011101000100111000101;0.323833;4397;0.625317;9
9;0000111110100011110110011111010100110010000;0.73516;9982;0010010100110011101111010101110101110000100;0.351377;4771;0.644163;8
10;0000111110100011111010010111110100110001000;0.727869;9883;0000011111001111110111000010010110110000110;0.290175;3940;0.65565;4
11;0000111110100011111111100111010100110000000;0.729268;9902;0001011111101011011011010011010000111010000;0.373766;5075;0.668919;9
12;0000111110100011111010001111110100110010000;0.735454;9986;0000011110100011101110011011110100010011010;0.40897;5553;0.66918;4
13;0000111110100011111110010111110100110000000;0.733392;9958;0000111111101011010110010001010101110010001;0.38717;5257;0.673956;5
14;0000111110100011111110010111110100110000000;0.733392;9958;0101110100100011110110000111110100111000100;0.34821;4728;0.676502;7
15;0000111110100011111110010111110100110000000;0.733392;9958;0000010111010111101111001111011100110000000;0.399543;5425;0.680558;7
16;0001111110100011111111000111010100110000000;0.736265;9997;0010111110000011011110011111010100010010100;0.466048;6328;0.694398;9
17;0000111110100011111011011111010100110000000;0.735013;9980;0010011111110001011010111111010000100100010;0.391442;5315;0.68165;4
18;0000111110100011111011011111010100110000000;0.735013;9980;0010011110100011110110100010110101110010001;0.458462;6225;0.691501;10
19;0000111110100011111010011111110100110000000;0.738327;10025;1000110011100011111010010111110100110010000;0.436662;5929;0.692711;16
20;0000111110100011111010011111110100110000000;0.738327;10025;0000110110100011101011011111010100110011000;0.561423;7623;0.695992;12
21;0000111110100011111010011111110100110000000;0.738327;10025;0000111110100011111010010101010110101010001;0.455443;6184;0.701097;13
22;0000111110100011111010011111110100110000000;0.738327;10025;0001110011100011111010001111110100110001000;0.448446;6089;0.699554;20
23;0000111110100011111010011111110100110000000;0.738327;10025;0011110110100011111010010111010100110010000;0.579393;7867;0.710159;20
24;0000111110100011111010001111110100110001000;0.738179;10023;0000111100100011111010100111101100110001001;0.515319;6997;0.713814;22
25;0001111110100011111010001111010100110001000;0.745986;10129;0000111101100101110110001110110100110001100;0.385256;5231;0.718517;35
26;0001111110100011111010001111110100110000000;0.745471;10122;0001110110100011111010001111110100110001000;0.589778;8008;0.723421;28
27;0001111110100011111010001111110100110000000;0.745471;10122;0001110110100011011010001111111100110001000;0.570334;7744;0.717891;37
28;0001111110100011111010001111010100110001000;0.745986;10129;0100111110100001111110011011110100110000000;0.563853;7656;0.716004;35
29;0001111110100011111010001111010100110001000;0.745986;10129;0001111110100011111011001011110100110000000;0.632936;8594;0.723352;45
30;0000111110100011111110001111110100110000000;0.745102;10117;0000110110100011111010001111110110110001000;0.583444;7922;0.726752;50
31;0001111110100011111010001111010110110000000;0.740536;10055;0001110110110001111010001111110100111000000;0.503903;6842;0.729296;62
32;0001111110100011111010001111110100110000000;0.745471;10122;1000110110100001011010001111110100110001110;0.489837;6651;0.729586;70
33;0001111110100011111010001111110100110000000;0.745471;10122;0010111100100110111010001111110100110001000;0.534836;7262;0.724079;57
34;0001111110100011111010001111110100110000000;0.745471;10122;0000110110100011111011001111110100110001000;0.585874;7955;0.725039;63
35;0001111110100011111010001111010100110001000;0.745986;10129;0001011100100011111010001111110100110001100;0.581529;7896;0.728182;64
36;0001111110100011111010001111010100110001000;0.745986;10129;0000111100100011111000011111110100110001010;0.540801;7343;0.727949;67
37;0001111110100011111010001111010100110001000;0.745986;10129;0000110110100011111010011111110100110001000;0.587715;7980;0.727007;66
38;0001111110100011111010001111010100110001000;0.745986;10129;0001010110100011111010001111111100110001000;0.56378;7655;0.734607;83
39;0001111110100011111010001111010100110001000;0.745986;10129;0000111100100011111010011111110100110001000;0.597658;8115;0.733143;81
40;0001111110100011111010001111010100110001000;0.745986;10129;0001111100100011111010001111110100110001000;0.595007;8079;0.734405;85
41;0001111110100011111010001111010100110001000;0.745986;10129;0000111110100011111010011111100100110001000;0.694653;9432;0.73562;81
42;0001111110100011111010011111010100110000000;0.746133;10131;0000110110100011111010011111110100110001000;0.587715;7980;0.732182;79
43;0000111110100011111110001111110100110000000;0.745102;10117;0000111110100001111010001111110100110101000;0.667992;9070;0.734679;81
44;0000111110100011111110001111110100110000000;0.745102;10117;0000111100100011111010011111110100110001000;0.597658;8115;0.732173;81
45;0000111110100011111110001111110100110000000;0.745102;10117;0001111100100011111010001111110100110001000;0.595007;8079;0.731804;78
46;0000111110100011111110001111110100110000000;0.745102;10117;0000110110100011111010011111010101110001000;0.576079;7822;0.731173;73
47;0000111110100011111110001111110100110000000;0.745102;10117;0000111111000011111110001110110100110001000;0.580792;7886;0.730966;71
48;0000111110100011111110001111110100110000000;0.745102;10117;0000110110100011111010011111110100111000000;0.583812;7927;0.730564;72
49;0000111110100011111110001111110100110000000;0.745102;10117;0000111100100011111010011111110100110001000;0.597658;8115;0.736894;84
50;0010111110100011111110001111010100110000000;0.747901;10155;0000110110100011111111001111010100110000100;0.585653;7952;0.733662;70
=============================================
geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;1010111111100111100011000111010000110010000;0.632715;8591;1101001100111100101001111000001101110100001;0.0419797;570;0.328529;1
1;1000111111100011110011000111110000110010000;0.652305;8857;1100110101010010101101000001101011011110100;0.0905877;1230;0.416107;2
2;1000111111100011100101011101010100110010000;0.638533;8670;1000011111101100100101001101101110010101000;0.186552;2533;0.463948;2
3;0000111110100001101111011111010100110000001;0.671675;9120;0010111110101010101011100011100101000100110;0.261379;3549;0.499502;1
4;0000111111100011110101000111010100110000011;0.664899;9028;0110111110101000010101000111100010100101101;0.209825;2849;0.509055;4
5;0010011110100011110111001111010100110000010;0.715717;9718;0100011111001001001101010101000111110110010;0.14494;1968;0.534116;6
6;0010011110100011110111001111010100110000010;0.715717;9718;0010011111111001100010010011010010110110100;0.273162;3709;0.552598;3
7;0010011110100011110111001111010100110000010;0.715717;9718;0000111111000001101101100111001110100011010;0.229121;3111;0.581843;3
8;0000111110100011110111101111010100110000000;0.730004;9912;0010101110000011110101000011010101110010111;0.287303;3901;0.596437;1
9;0010011110100011110110011111010100110010000;0.720283;9780;1100101110100011110101011001010100110000110;0.351598;4774;0.598954;3
10;0010011110100011110110011111010100110010000;0.720283;9780;1100101111100001100011111111010001100010000;0.352556;4787;0.617543;4
11;0010011110100011110110011111010100110010000;0.720283;9780;0010111110100010111101011001010100110011000;0.380395;5165;0.636725;4
12;0100111110100011010110011111010100110010000;0.717042;9736;1100111110101011100110011111010100000100000;0.451318;6128;0.651144;4
