geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000111110100011011010001111000100111011100;0.676757;9189;1101101001011100100000001110011111100110100;0.0310797;422;0.190715;1
1;0000111110100011011010001111000100111011001;0.671748;9121;1001011100011001110001110110010001100111100;0.0953749;1295;0.236001;1
2;0000111110100011011010001111000100111010101;0.670717;9107;1011100110011001100001110100010111110000011;0.100825;1369;0.274669;4
3;0000111110100011011010100111010101110010100;0.702533;9539;0111000110101100100100101110100101011011100;0.0988364;1342;0.318047;1
4;0000111110100011011010110101000100111010110;0.614744;8347;1001000110101100111100010100010111110001011;0.146045;1983;0.345325;1
5;0000111110100010011011100111010101110010100;0.674621;9160;1100010101110110010001001111000110111010001;0.11526;1565;0.383464;1
6;0010111110100011100010001111010100111011000;0.698998;9491;1100011100110001101100001101001101110110001;0.136692;1856;0.415676;4
7;0000111110100011011110000111010100111011000;0.715569;9716;0010110111111001001010001100011010101010101;0.16814;2283;0.447022;6
8;0000111111100111100010001111010100110011000;0.694579;9431;1100001111001110111001100101000110110010100;0.239358;3250;0.498937;2
9;0000111110100011011010010111010101110010100;0.702165;9534;0001001100101010100111011011100100111011010;0.179334;2435;0.50819;5
10;0000111110100011011010000111010100111011010;0.703565;9553;1110011101100001001010110101000100111011010;0.147076;1997;0.541876;3
11;0000111110100011110010001111010100111000011;0.715643;9717;1100111001100010110011010111000100110011001;0.211371;2870;0.561507;1
12;0000111110100011011010001111010100111011000;0.720136;9778;0000110110100011110010001011010100111111001;0.338562;4597;0.596375;3
13;0000111110100011110010001111010100110011100;0.726322;9862;1000111010101010100110100111100100011010011;0.286935;3896;0.625411;7
14;0000111110100011110010011111010100110011000;0.726617;9866;1100001100100011110011001111110100010011010;0.381352;5178;0.647766;3
15;0000111110100011110010001111010100110011100;0.726322;9862;0010010110100011111010001111000000111011011;0.328914;4466;0.65885;7
16;0000111110100011110010001111111100110010000;0.723818;9828;0100000100101011110110100011110100110011110;0.295552;4013;0.666055;11
17;0000111110100011110010001111111100110010000;0.723818;9828;0000101110001111111110000101100100111011000;0.344307;4675;0.669881;7
18;0100111110100011110010001111110100110010000;0.72426;9834;0010101010110011110010001111010000111111000;0.426425;5790;0.667436;9
19;0000111110100011111010001111110100110010000;0.735454;9986;0010011100100011111010001111110100010011100;0.407056;5527;0.671191;4
20;0010111110100011110010001111110100110000010;0.730152;9914;1000111100100001111010101111010100111100000;0.479894;6516;0.682257;2
21;0000111110100011111010101111010100110010000;0.736044;9994;1000111110100011011011001011000110111000001;0.483355;6563;0.683917;8
22;0000111110100011110010001111110100110001010;0.729489;9905;0010010110110011111010010111011100110001000;0.543526;7380;0.697391;9
23;0000111110100011111010001111010100110011000;0.73597;9993;0001011110000011111010010111011001110011000;0.432022;5866;0.690922;14
24;0000111110100011011110001111010100110010010;0.734571;9974;0000110110101011011010011111010100111010000;0.553542;7516;0.697954;18
25;0000111110100011111010101111010100110001000;0.738106;10022;1000111110100011011010001111011100000110100;0.462513;6280;0.703301;23
26;0000111110100011111010101111010100110000100;0.737811;10018;1100101100100011110010001111110100110001100;0.558993;7590;0.71238;33
27;0000111110100011111010101111010100110000100;0.737811;10018;0000111100100011010010011111011100110001110;0.550744;7478;0.719429;42
28;0000111110100011111010001111010100110001100;0.737369;10012;1000110110100011110010011111010100110011000;0.565105;7673;0.71255;33
29;0000111110100011111110001111010100110010000;0.742377;10080;0000110010100011011010101111010100110011110;0.446826;6067;0.71482;36
30;0000111110100011111010001111110100110001000;0.738179;10023;0000110110100011110010011111110100110011000;0.579172;7864;0.723789;44
31;0000111110100011111010011111010100110001000;0.738032;10021;0000110110100011111011001111010100110001100;0.578067;7849;0.724906;58
32;0000111110100011111010011111010100110001000;0.738032;10021;0000111110100011111010001111010100100001101;0.640227;8693;0.73116;67
33;0010111110100011111010001111010100110000100;0.741788;10072;0000111110100011111010001011010100110011100;0.621299;8436;0.731283;79
34;0001111110100011111010001111010100110001000;0.745986;10129;1000110110100011111010001111010100100001110;0.45316;6153;0.732684;81
35;0001111110100011111010001111010100110000100;0.745692;10125;0000111110101011111010011011010100110001000;0.61769;8387;0.727671;64
36;0001111110100011111010001111010100110001000;0.745986;10129;0010111101100011111010001111010100110001000;0.586684;7966;0.726591;63
37;0001111110100011111010001111010100110001000;0.745986;10129;0000110110100011111010011111010100110001100;0.583665;7925;0.731156;73
38;0001111110100011111010001111010100110001000;0.745986;10129;0000110110100011111010101111010100110001100;0.581087;7890;0.727254;64
39;0001111110100011111010001111010100110001000;0.745986;10129;1000110110100011111110001111010100110001000;0.584696;7939;0.726619;61
40;0001111110100011111010001111010100110001000;0.745986;10129;1000111110100011111010001011110100110001000;0.624245;8476;0.730763;65
41;0001111110100011111010001111010100110001000;0.745986;10129;0001111110100011111010011111010100000001100;0.507144;6886;0.727973;59
42;0001111110100011111010001111010100110001000;0.745986;10129;0001110110100011111010011111010100110001000;0.582339;7907;0.721544;52
43;0001111110100011111010011111010100110000000;0.746133;10131;0000110110100011111110001111010100110011000;0.587421;7976;0.727333;55
44;0001111110100011111010001111010100110001000;0.745986;10129;0001111110110010111110001101010100110000100;0.663132;9004;0.732711;63
45;0001111110100011111010011111010100110000000;0.746133;10131;0001111100100111111010001111010100110001000;0.593976;8065;0.735177;74
46;0001111110100011111010011111010100110000000;0.746133;10131;0001110110100011111010101111010100110001000;0.583517;7923;0.730917;68
47;0001111110100011111010011111010100110000000;0.746133;10131;0000111111000011111010011111010100110001000;0.670202;9100;0.737056;66
48;0001111110100011111010001111010100110001000;0.745986;10129;0000111110100011111110101111010100100001000;0.648623;8807;0.738526;77
49;0001111110100011111010001111010100110001000;0.745986;10129;0001111110100011111110001011010100110001000;0.637207;8652;0.740296;81
50;0001111110100011111010001111010100110001000;0.745986;10129;0001111110100011111110001110010100110000100;0.697673;9473;0.7403;82
=============================================
geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000111110100011011010001111000100111011100;0.676757;9189;0011011100110101010000100001011011100110111;0.0610546;829;0.19376;1
