geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000001110100010000000000101000000010000000;0.184269;2502;1010000001001000000000111000000000100000000;0;0;0.00892178;1
1;0000001110100010000000000101000000010000000;0.184269;2502;1000000000000000000001110110110000000000000;0;0;0.0128973;5
2;0000000010000010100010100000001000100010000;0.14413;1957;1001000000001000000101001000000000100000010;0;0;0.0202548;1
3;0000000010100010001001100000100000000100000;0.127559;1732;0001010000000000000000000011100100010010000;0;0;0.0308344;6
4;0000000010000010010011101000000000100000000;0.13868;1883;0010000000010100001000000000011000010010000;0;0;0.0417816;1
5;0000000110000010000000000101010000010000010;0.154809;2102;0000100000000000000001011000000101010010000;7.36486e-05;1;0.047697;4
6;0000001010000010000000000101010000010000010;0.165709;2250;0001000000010000001010100000000010000100100;0.00132567;18;0.0594476;3
7;1000000010100010000000000101010000010000000;0.174473;2369;1000000000101100000000110000010010000000000;0.000147297;2;0.0808786;10
8;0000001010000010001000000101010000010000000;0.200766;2726;0100000000000010010001011000000000010000001;0.00132567;18;0.0943732;7
9;0000001011000010000000000101010000000010000;0.170791;2319;0000100110000000000000100101000000010001000;0.0024304;33;0.112014;8
10;0000000110000010000010000101010000010000000;0.184416;2504;0011000010000000000101001000000000000100001;0.00935337;127;0.116565;4
11;0000001010000011000000000101010100000000000;0.195905;2660;0000000010100100010001010001000000000010000;0.00972161;132;0.128992;4
12;0000000010000011001010000101010000000000000;0.187657;2548;0000010010000101000000001000000000101100000;0.00913242;124;0.134889;9
13;0000000010000010011110100000010000000000000;0.188761;2563;0000000000000100000011111000000000100000001;0.00287229;39;0.131868;3
14;0000000010000010011110100000010000000000000;0.188761;2563;0000000100000010000010000001000001001010001;0.0122993;167;0.133397;5
15;0000000010000010011110100000010000000000000;0.188761;2563;0000100000000001000010000110001000000010100;0;0;0.146401;14
16;0000000010100010000010000101010000010000000;0.194064;2635;0000000100000010000010000101000001000100001;0.0136986;186;0.145703;11
17;0000000010000010011110100000010000000000000;0.188761;2563;0000000100000010001010000101000000000110000;0.037929;515;0.144208;6
18;0000000010000010011110100001000000000000000;0.191192;2596;0000100010000101101000000100100000000000000;0.0246723;335;0.145409;9
19;0000000010100011001010000100010000000000000;0.188835;2564;0000000000010010010110001000010000000000001;0.0433053;588;0.145732;11
20;0000000010000010011110100000010000000000000;0.188761;2563;1001100001000010000000100000010100000000000;0.00353513;48;0.14333;13
21;0000000010000010011110100000010000000000000;0.188761;2563;0100000010000100001000000001010000000100100;0.00434526;59;0.139719;11
22;0000000010000010011110100000010000000000000;0.188761;2563;0000100000010001000110110000010000000000000;0.0254824;346;0.141665;12
23;0000001010000011000010000101010000000000000;0.237811;3229;0000010000000001100010000101000000000100100;0.00802769;109;0.144712;6
24;0000000010000010011110100000010000000000000;0.188761;2563;0000000011000000011010001000100000100000000;0.0363824;494;0.142555;4
25;0000000010000011000110100000010000000010000;0.181323;2462;0011000000000001001000000101010001000000000;0.0349831;475;0.146928;5
26;0000000010000011010110100000010000000000000;0.192517;2614;0000000000000011000000111001000000001001000;0.0438209;595;0.148222;6
27;0000000010000011010110100000010000000000000;0.192517;2614;0001000001100001000010100000100000001000000;0.0103844;141;0.141934;7
28;0000000010000011011110001000000000000000000;0.199514;2709;0100000000000101000000000001010000000110100;7.36486e-05;1;0.148132;14
29;0000000010000011010110110000000000000000000;0.22043;2993;0010000010001000000010000100100001000010000;0.00567094;77;0.153093;14
30;0000000010100011010110100000000000000000000;0.193696;2630;0000000000000010010101100001000000001010000;0.0456621;620;0.151588;9
31;0000000010000011011010110000000000000000000;0.197084;2676;0000100000001011000100110000000000000000010;0.0431581;586;0.152322;8
32;0000000010000011011110100000000000000000000;0.20953;2845;0000000010000000110010110000100010000000000;0.0556783;756;0.152505;8
33;0000000010000011010110110000000000000000000;0.22043;2993;0000000000001010000110110000001001000000000;0.045883;623;0.154909;7
34;0000000010000011010110100000000000000001000;0.20791;2823;0010000010000000010110100000000010010000000;0.0600972;816;0.160626;17
35;0000000010000011010110100000000000000001000;0.20791;2823;0001000010100000000010100011000000100000000;0.0482398;655;0.159964;9
36;0000000010000011010110100000000000000001000;0.20791;2823;0000001000000001100110100100000001000000000;0.0291648;396;0.159003;14
37;0000000010000011010110100000000000000001000;0.20791;2823;0000010100000011011000010001000000000000000;0.0239358;325;0.161204;11
38;0000000010000011010110101000000000000000000;0.201061;2730;0000000000000000010110100000001010011000000;0.0262189;356;0.160948;12
39;0000000010000011010110110000000000000000000;0.22043;2993;0000000010000000010110010100000000000000110;0.0583296;792;0.162718;14
40;0000000010000011010110110000000000000000000;0.22043;2993;0000000000010001010110100000000001000010000;0.0387391;526;0.163029;15
41;0000000010000011010110110000000000000000000;0.22043;2993;0010100010000000011010010001000000000000000;0.0362351;492;0.165857;17
42;0000000010000011011110100000000000000000000;0.20953;2845;0000000010001001010100100000000000100010000;0.0463986;630;0.171522;27
43;0000000010000011010110110000000000000000000;0.22043;2993;0010000000100010100010100001000000000001000;0.0602445;818;0.171148;23
44;0000000010000011010110110000000000000000000;0.22043;2993;0000001000011001010110100000000000000000000;0.0358668;487;0.176975;39
45;0000000010000011010110110000000000000000000;0.22043;2993;0000001000100001010110000001010000000000000;0.0441891;600;0.182407;46
46;0000000010000011010110110000000000000000000;0.22043;2993;0000000000000101010110110000000100000000000;0.0565621;768;0.180011;39
47;0000000010000011010110110000000000000000000;0.22043;2993;1000010000000001010110101000000000000000000;0.048829;663;0.18615;52
48;0000000010000011010110110000000000000000000;0.22043;2993;0000100000000011011010010000100000000000000;0.0995728;1352;0.193129;65
49;0000000010000011010110110000000000000000000;0.22043;2993;0000000000000011000110111000000000000100000;0.114744;1558;0.194636;62
50;0000000010000011010110110000000000000000000;0.22043;2993;0000000000000011010110100001000000000100000;0.128811;1749;0.204895;78
51;0000000010000011010110110000000000000000000;0.22043;2993;0000000010000001010110100000000001000010000;0.111578;1515;0.205919;80
52;0000000010000011010110110000000000000000000;0.22043;2993;0100000010000001010110110000000000000000000;0.13161;1787;0.205233;74
53;0000000010000011010110110000000000000000000;0.22043;2993;0000000011000011010100100000000100000000000;0.136029;1847;0.211585;79
54;0000000010000011010110110000000000000000000;0.22043;2993;1000000000000011010100110000000000000000010;0.0615702;836;0.204461;71
55;0000000010000011010110110000000000000000000;0.22043;2993;0000000000000011010100110000000000100001000;0.0672411;913;0.205571;74
56;0000000010000011010110110000000000000000000;0.22043;2993;0001000010000001010110110000000000000000000;0.132125;1794;0.209831;79
57;0000000010000011010110110000000000000000000;0.22043;2993;0000100010000001000110110000000000000000010;0.103992;1412;0.210306;81
58;0000000010000011010110110000000000000000000;0.22043;2993;0000000010010001010110110000000000000000000;0.133525;1813;0.208165;77
59;0000000010000011010110110000000000000000000;0.22043;2993;0100100000000010010110110000000000000000000;0.0977316;1327;0.204033;71
60;0000000010000011010110110000000000000000000;0.22043;2993;1000000010000001010110110000000000000000000;0.131536;1786;0.202548;66
