geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;01101000111011010011101011101101011010;1;11632;11010111011101101100100100111111100111;0.439563;5113;0.924445;1
1;01101000111011010011101011111111110011;0.998796;11618;00011111110111011000011101111000111111;0.573246;6668;0.970873;1
2;00111110110101110001111011010111110011;0.998968;11620;11111111100110111111000101101100111000;0.852906;9921;0.98623;2
3;00111110110101110001111011010111101101;0.999312;11624;11010111011110101111000011111100111100;0.844223;9820;0.989554;3
4;01101000111011111111110111011100100110;0.999742;11629;00111110011111111001000101011110011111;0.838979;9759;0.991851;5
5;01101000111011011011111011011101101101;1;11632;00111100011111111100111100101101011011;0.61924;7203;0.992056;4
6;00011000111111011011111011011101101101;1;11632;01100111101101110111000101101111110011;0.85325;9925;0.994573;7
7;10110101011011110011101011011101101101;1;11632;00110111101110111000001101101111101111;0.493122;5736;0.993819;5
8;01101100110101110111111011010111101100;1;11632;01011110101010111101001011110110111110;0.941884;10956;0.995677;2
9;00111101110101110011101011011101011101;1;11632;00011011011101111100101011111101101011;0.936726;10896;0.995967;3
10;00111100111011110011101011011101101101;1;11632;01110100110111110111000110111111011001;0.848349;9868;0.996252;3
11;00111101110101110011101011011101011101;1;11632;01111000111101110001001011111111101101;0.938618;10918;0.996815;2
12;01111000111011010011101111011101101101;1;11632;11011111010101010001001011111111101101;0.936125;10889;0.997145;3
13;00011100111101110011110011110111101110;1;11632;01111100111011110011001011011100101111;0.945237;10995;0.997459;1
14;00111100111011011011101011010110111110;1;11632;10110100110101110111001011011101111101;0.946871;11014;0.997788;3
15;10001110110101110011111011011101011101;1;11632;01101101111111010010001011101101111101;0.937758;10908;0.997756;3
16;01011001011011111011101011010111010111;1;11632;10111100111111111001000111010111101100;0.857548;9975;0.997849;2
17;00011101111011110011101011010111011110;1;11632;01001101010111111011001011110111011101;0.945495;10998;0.998709;1
18;01001101010111111011101011010111100111;1;11632;01111000111011111011001011101110101101;0.947215;11018;0.998894;3
19;00011101111011011011101011101101011101;1;11632;01111100011011100011101011111101101101;0.973177;11320;0.998798;2
20;00011100110111111011101011101101011101;1;11632;10011100110111010011001011111111101101;0.945839;11002;0.998778;3
