geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;00000000000000000000110011000000000000;0.704694;8197;00000001000000000000001000000100010000;0.000343879;4;0.181425;123
1;00000000000000000000110011000000000000;0.704694;8197;00001010000000000000000100000100000000;0.00610385;71;0.204603;88
2;00000000000000000000110011000000000000;0.704694;8197;00000000010000000000001000001000000100;0.00361073;42;0.245949;94
3;00000000000000010001100001000000000000;0.716386;8333;00000000000000000100000100000100000100;0.00111761;13;0.285274;106
4;00000000000000010001100001000000000000;0.716386;8333;00000000000000000100001001000000100000;0.00558803;65;0.314541;112
5;00000000000000010001100001000000000000;0.716386;8333;00000000100000000000010010000100000000;0.0125516;146;0.341461;130
6;00000000000000010001100001000000000000;0.716386;8333;00000000010000000000010010000000010000;0.00601788;70;0.36848;136
7;00000000000000010001100001000000000000;0.716386;8333;11000010000000000000100000000000000000;0.00472834;55;0.410847;145
8;00000000000000000011100001000000000000;0.706843;8222;01000010000000000000000100000010000000;0.00326685;38;0.452674;171
9;00000000000000010010100001000000000000;0.713205;8296;00000000001000000000000010000101000000;0.0105743;123;0.500273;200
10;00000000000000010010100001000000000000;0.713205;8296;00000001000000000100100100000000000000;0.0173659;202;0.507871;188
11;00000000000000010010100001000000000000;0.713205;8296;00000111000000000000000001000000000000;0.0127235;148;0.526893;192
12;00000000000000010011100000000000000000;0.739598;8603;10000001000000000000010010000000000000;0.00326685;38;0.519209;190
13;00000000000000010011100000000000000000;0.739598;8603;00000100000000000100010010000000000000;0.0150447;175;0.559928;209
14;00000000000000010011100000000000000000;0.739598;8603;00000000000000000000100010000010000100;0.0212345;247;0.583054;240
15;00000000000000010011100000000000000000;0.739598;8603;00100000000000000000010001000000010000;0.0181396;211;0.567644;232
16;00000000000000010011100000000000000000;0.739598;8603;00000000000000001000000001000010010000;0.0155605;181;0.56737;241
17;00000000000000010011100000000000000000;0.739598;8603;00000000000000000100010001000000000100;0.0139271;162;0.575136;254
18;00000000000000010011100000000000000000;0.739598;8603;11000000000000000000100010000000000000;0.0125516;146;0.575133;242
19;00000000000000010011100000000000000000;0.739598;8603;00000000000010000000100010000000100000;0.0166781;194;0.565753;236
20;00000000000000010011100000000000000000;0.739598;8603;00000000000000000100100010000001000000;0.0192572;224;0.608833;258
21;00000000000000010011100000000000000000;0.739598;8603;00100000000000000100100000000000100000;0.0185695;216;0.609675;254
22;00000000000000010011100000000000000000;0.739598;8603;00000000000010000000010001000010000000;0.0278542;324;0.62448;276
23;00000000000000010011100000000000000000;0.739598;8603;00100000000000010000100000000100000000;0.0719567;837;0.629484;276
24;00000000000000010011100000000000000000;0.739598;8603;01000000000000000000010011000000000000;0.0248453;289;0.631772;283
25;00000000000000010011100000000000000000;0.739598;8603;00000000100010000000100000000000000100;0.0237276;276;0.618578;284
26;00000000000000010011100000000000000000;0.739598;8603;00000000001000010000000001000010000000;0.0701513;816;0.623584;286
27;00000000000000010011100000000000000000;0.739598;8603;00001000000010000000100010000000000000;0.0281121;327;0.599482;275
28;00000000000000010011100000000000000000;0.739598;8603;00000000000000010100000001000100000000;0.0805536;937;0.611277;290
29;00000000000000010011100000000000000000;0.739598;8603;01000000000000011001000000000000000000;0.076771;893;0.610374;294
30;00000000000000010011100000000000000000;0.739598;8603;00000000000000010000100000001100000000;0.0868294;1010;0.617517;291
31;00000000000000010011100000000000000000;0.739598;8603;00000000000000010001000000000011000000;0.0572558;666;0.614284;294
32;00000000000000010011100000000000000000;0.739598;8603;01000000000000010010000000000100000000;0.0789202;918;0.604952;294
33;00000000000000010011100000000000000000;0.739598;8603;00001010000000010000100000000000000000;0.0714409;831;0.60172;296
34;00000000000000010011100000000000000000;0.739598;8603;10000000000000010001000000001000000000;0.0683459;795;0.626161;308
35;00000000000000010011100000000000000000;0.739598;8603;00000000000010010000000100000000001000;0.0525275;611;0.631214;311
36;00000000000000010011100000000000000000;0.739598;8603;00000100000000010000000001000010000000;0.0662827;771;0.649122;323
37;00000000000000010011100000000000000000;0.739598;8603;00000001010000000011000000000000000000;0.0806396;938;0.652607;323
38;00000000000000010011100000000000000000;0.739598;8603;00000001000000010011000000000000000000;0.0837345;974;0.63181;318
39;00000000000000010011100000000000000000;0.739598;8603;00000000000000010001000010000000000100;0.065337;760;0.611087;304
40;00000000000000010011100000000000000000;0.739598;8603;00000010000000010011000000000000000000;0.0837345;974;0.62138;305
41;00000000000000010011100000000000000000;0.739598;8603;00000000000010010001000000000000010000;0.0579436;674;0.638625;317
42;00000000000000010011100000000000000000;0.739598;8603;00100000010000010000000100000000000000;0.0694636;808;0.662234;329
43;00000000000000010011100000000000000000;0.739598;8603;00000000000000010110000000000000100000;0.0609525;709;0.648425;323
44;00000000000000010011100000000000000000;0.739598;8603;00010010000000000011000000000000000000;0.0650791;757;0.634046;325
45;00000000000000010011100000000000000000;0.739598;8603;00100000100000000011000000000000000000;0.0759972;884;0.621772;320
46;00000000000000010011100000000000000000;0.739598;8603;00000010000000010011000000000000000000;0.0837345;974;0.647975;321
47;00000000000000010011100000000000000000;0.739598;8603;00000000000000010110000000000010000000;0.0687758;800;0.634776;316
48;00000000000000010011100000000000000000;0.739598;8603;00010000000000010011000000000000000000;0.0870014;1012;0.656673;332
49;00000000000000010011100000000000000000;0.739598;8603;00000001000000010011000000000000000000;0.0837345;974;0.66146;328
50;00000000000000010011100000000000000000;0.739598;8603;00000001000000010011000000000000000000;0.0837345;974;0.642754;328
51;00000000000000010011100000000000000000;0.739598;8603;00000001100000000011000000000000000000;0.0817572;951;0.624968;312
52;00000000000000010011100000000000000000;0.739598;8603;00000000000000010000100000000100000100;0.0692916;806;0.630206;322
