geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;00000000000000000010000001110000000000;0.151823;1766;00000110000000000000010000000000001000;0;0;0.0104337;1
1;00000000000000000010000001110000000000;0.151823;1766;00001000000001000010000000000000010000;0;0;0.0248571;5
2;00000000000000100000000000000000101010;0.161021;1873;00000010000000000010100010000000000000;0;0;0.0378093;5
3;00000000000001000000000001110000000000;0.159302;1853;00000000000100000000000000000111000000;0;0;0.0541975;24
4;00000000000000100000000001110000000000;0.153886;1790;00000010001000000000010001000000000000;0;0;0.0689578;49
5;00000000000001000000000001110000000000;0.159302;1853;00000100000100000000010000000000000010;0;0;0.0822718;57
6;00000000000001000000000001110000000000;0.159302;1853;00000100000000000000100000000100001000;0;0;0.0891046;70
7;00000000000001000000000001110000000000;0.159302;1853;00001000010000100000000000000100000000;0;0;0.0962622;77
8;00000000000001000000000001110000000000;0.159302;1853;10000000100000000000000000010010000000;0;0;0.101206;99
9;00000000000000100000000000000000101010;0.161021;1873;00001000000000000001000011000000000000;0;0;0.107223;120
10;00000000000000100000000000000001001010;0.163171;1898;00000000000100000000001001010000000000;0;0;0.109277;127
11;00000000000000000000000011110000000000;0.161623;1880;00000000100001000000000000100001000000;0;0;0.107821;117
12;00000000000001000000000000111000000000;0.16042;1866;00000000000001000011000010000000000000;0;0;0.113536;140
13;00000000000000000000000011110000000000;0.161623;1880;00000100000000000100000000100010000000;0.000429849;5;0.120984;165
14;00000000000000000000000011110000000000;0.161623;1880;00000000000010100000110000000000000000;0;0;0.122463;182
15;00000000000000000000000011110000000000;0.161623;1880;01000000000000000001000001000001000000;0;0;0.126912;196
16;00000000000000000000000011110000000000;0.161623;1880;00000000000101000000000010000000100000;0;0;0.129325;202
17;00000000000000000000000011110000000000;0.161623;1880;00001000000000000000101000000000001000;0;0;0.134131;230
18;00000000000000000000000011110000000000;0.161623;1880;00000000000001000001010000000000000100;0.000257909;3;0.138344;243
19;00000000000001000000000000000000001110;0.165234;1922;00000000000101000000001001000000000000;0;0;0.140305;257
20;00000000000000000000000011110000000000;0.161623;1880;00000010000001000000010001000000000000;0.000601788;7;0.142911;277
21;00000000000000000000000011110000000000;0.161623;1880;00000000000100000001010000000000000010;0;0;0.145816;288
22;00000000000000000000000011110000000000;0.161623;1880;00000000000010000000001000001000000010;0;0;0.144596;285
23;00000000000000000000000011110000000000;0.161623;1880;00001000000000000000010001100000000000;0.00257909;30;0.149357;296
24;00000000000000000000000011110000000000;0.161623;1880;10000000000000000000000011000000000010;0.00146149;17;0.146705;295
25;00000000000000000000000011110000000000;0.161623;1880;00000010000000000000000001010001000000;0.00386864;45;0.147803;321
26;00000000000000000000000011110000000000;0.161623;1880;00100000000000000000001001100000000000;0.00163343;19;0.146316;306
27;00000000000000000000000011110000000000;0.161623;1880;00000000010000000000000011100000000000;0.00464237;54;0.144924;290
28;00000000000000000000000011110000000000;0.161623;1880;00000000000001001000001001000000000000;0;0;0.139387;289
29;00000000000000000000000011110000000000;0.161623;1880;00000000000000000100010001010000000000;0.000773728;9;0.142883;295
30;00000000000000000000000011110000000000;0.161623;1880;00000000010000010000000000110000000000;0.00412655;48;0.14168;293
31;00000000000000000000000011110000000000;0.161623;1880;00000000000000010000000011000000001000;0.000859697;10;0.138363;291
32;00000000000000000000000011110000000000;0.161623;1880;00000001010000000000000010010000000000;0;0;0.137768;291
33;00000000000000000000000011110000000000;0.161623;1880;00001000000000000010000011000000000000;0;0;0.137779;299
34;00000000000000000000000011110000000000;0.161623;1880;00000100000000000000000011000100000000;0.000601788;7;0.137248;307
35;00000000000000000000000011110000000000;0.161623;1880;00000000000000000000000011001000001000;0.000257909;3;0.136145;304
36;00000000000000000000000011110000000000;0.161623;1880;00000100000000010000000010010000000000;0.00335282;39;0.138496;312
37;00000000000000000000000011110000000000;0.161623;1880;00000001000000000000000011100000000000;0.00464237;54;0.139418;313
38;00000000000000000000000011110000000000;0.161623;1880;00000001000000010010000000010000000000;0.000257909;3;0.140932;320
39;00000000000000000000000011110000000000;0.161623;1880;00000000000000000001000010010100000000;0.000257909;3;0.139387;327
40;00000000000000000000000011110000000000;0.161623;1880;00000000000100000000100010010000000000;0;0;0.137916;333
41;00000000000000000000000011110000000000;0.161623;1880;00000010000000000000000011100000000000;0.00464237;54;0.135415;323
42;00000000000000000000000011110000000000;0.161623;1880;00000010000000000000000011100000000000;0.00464237;54;0.137657;330
43;00000000000000000000000011110000000000;0.161623;1880;00000000000000001000000011100000000000;0.00481431;56;0.140827;337
44;00000000000000000000000011110000000000;0.161623;1880;00000000000000010000001001100000000000;0.00404058;47;0.139363;335
