geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;00000000000000000010000001110000000000;0.151823;1766;00000110000000000000010000000000001000;0;0;0.0104337;1
1;00000000000000000010000001110000000000;0.151823;1766;00010000000000000010000100000000000100;0;0;0.0175535;7
2;00000000000000000010000001110000000000;0.151823;1766;00000100000000100010001000000000000000;0;0;0.0242147;19
3;00000000000000100000000000000001001010;0.163171;1898;10000000000000000001010000000000100000;0;0;0.0340483;18
4;00000000000001000000000000000000001011;0.155863;1813;00000000010000000001001000000000000001;0;0;0.0429204;18
5;00000000000000100000000000000001001010;0.163171;1898;00001000000000000001000010000000001000;0;0;0.048522;24
6;00000000000000100000000000000001001010;0.163171;1898;01000000000001000010000000000010000000;0;0;0.0563723;35
7;00000000000000100000000000000000001101;0.162741;1893;00001001000000000000110000000000000000;0;0;0.0617422;27
8;00000000000001000000000000000000001110;0.165234;1922;00000100100000000000000000001000100000;0;0;0.0734209;43
9;00000000000000100000000000000000001110;0.177528;2065;01000000000000000000110000000000001000;0;0;0.0825986;66
10;00000000000000100000000000000000001110;0.177528;2065;00001001000000100000001000000000000000;0;0;0.0827766;64
11;00000000000000100000000000000000001110;0.177528;2065;00000000000000000000010010000010000010;0;0;0.0871881;73
12;00000000000000100000000000000000001110;0.177528;2065;00000001000000000100000100000000000010;0;0;0.0900922;87
13;00000000000000100000000000000000001110;0.177528;2065;00001000000000000000110000000000001000;0;0;0.0954666;93
14;00000000000000100000000000000000001110;0.177528;2065;10000000000000100010000000000001000000;0;0;0.0989105;110
15;00000000000000100000000000000000001110;0.177528;2065;00000100000000101000000000000010000000;0;0;0.102765;106
16;00000000000000100000000000000000001110;0.177528;2065;00000000000000001000000100001000000010;0;0;0.106295;110
17;00000000000000100000000000000000001110;0.177528;2065;00000100000000000000100000000000100100;8.59697e-05;1;0.11135;143
18;00000000000000100000000000000000001110;0.177528;2065;00000001000001000100000000000100000000;0;0;0.111008;135
19;00000000000000100000000000000000001110;0.177528;2065;00000010000000100000000001000100000000;0;0;0.111079;148
20;00000000000000100000000000000000001110;0.177528;2065;00000000001000000000000001001000001000;0.000687758;8;0.116296;169
21;00000000000000100000000000000000001110;0.177528;2065;00000000000000001100000000000000001100;0.000515818;6;0.123493;190
22;00000000000000100000000000000000001110;0.177528;2065;00000000000000000000010000000110000001;0;0;0.130544;212
23;00000000000000100000000000000000001110;0.177528;2065;00000000010000000000000101000000001000;8.59697e-05;1;0.136668;247
24;00000000000000100000000000000000001110;0.177528;2065;00000000000000100000010000000000000110;0.00679161;79;0.136429;246
25;00000000000000100000000000000000001110;0.177528;2065;00000000000000000001001000001000001000;0;0;0.138674;259
26;00000000000000100000000000000000001110;0.177528;2065;00000100000000000000000000001000100010;0.00111761;13;0.141516;277
27;00000000000000100000000000000000001110;0.177528;2065;00000001000000100010000000000000010000;0;0;0.139595;279
28;00000000000000100000000000000000001110;0.177528;2065;00000000000000000000010001001000000010;0.00120358;14;0.146794;297
29;00000000000000100000000000000000001110;0.177528;2065;00000010000000000000000000000100000110;0.00120358;14;0.148263;308
30;00000000000000100000000000000000001110;0.177528;2065;00000000000000110000000000100000000100;0.00249312;29;0.144943;306
31;00000000000000100000000000000000001110;0.177528;2065;00000000000000000000011000000000001100;0.000257909;3;0.144685;306
32;00000000000000100000000000000000001110;0.177528;2065;00000000000000101000000000000000000110;0.00636176;74;0.14873;309
33;00000000000000100000000000000000001110;0.177528;2065;00000010000000100000000000000000000110;0.00636176;74;0.150519;309
34;00000000000000100000000000000000001110;0.177528;2065;00001000000000100010000000000000000100;0.000343879;4;0.148428;313
35;00000000000000100000000000000000001110;0.177528;2065;00000100000000000100000000000000000110;0.00111761;13;0.144075;311
36;00000000000000100000000000000000001110;0.177528;2065;00000001000000000001000000000000000110;0.00111761;13;0.143556;310
37;00000000000000100000000000000000001110;0.177528;2065;00000000000000101000000000000000000110;0.00636176;74;0.149221;322
38;00000000000000100000000000000000001110;0.177528;2065;00000000000000010000010000000000001100;0.00163343;19;0.147066;313
39;00000000000000100000000000000000001110;0.177528;2065;00000000010000100000000010000000000100;0.00128955;15;0.142293;299
