geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000100100000110010100000011010001000000101110;0.376164;3715;0010001001101000100101100100000110000001010000;0.00141758;14;0.0934285;1
1;0000100100000110010100000011010001000000101110;0.376164;3715;0000100010010000000001101001001010100010100101;0.00303767;30;0.119686;4
2;1001001100000110010101000000010001000000001110;0.392669;3878;1100001110100010100001101100000000000001000010;0.00850547;84;0.139336;4
3;0000100100000110010101000011010010000000100110;0.394188;3893;1100001100101000000100001000110000100010010001;0.0156946;155;0.152608;6
4;0000100100100110110101000000010000001000010110;0.385682;3809;0100101100000001011000000001000010010100100101;0.00830296;82;0.165359;4
5;0000101100100010010101000010010000000000011110;0.38305;3783;1100000100000101011100000100010010000010010100;0.0323005;319;0.178268;7
6;0001100100000110010101000000010000001000011110;0.4032;3982;0111000100100000010010000011100000000000111100;0.0152896;151;0.187188;4
7;0000100100000110110101000000010000000001110110;0.425375;4201;0001110110001011010000000000010000100010000110;0.0291616;288;0.202797;7
8;0000100101001111010101000000010000000000001110;0.444006;4385;0101010000100110000111000000010010000100010100;0.0323005;319;0.211924;6
9;0000100100101111010101000000010000000000001110;0.449676;4441;0000100000100110011100000000101100100100001100;0.0401985;397;0.228414;2
10;0000101100000111010101000000010000000000011110;0.450486;4449;0100001101011100000100001010000000100000010110;0.0502228;496;0.244636;5
11;0000101100000111010101000000010000000000011110;0.450486;4449;0000110101000100001010001100000000000100101110;0.0300729;297;0.259141;9
12;0000100100001110010101100000010000000000101110;0.457371;4517;0100000101000011010100010100001000010000110100;0.0353382;349;0.280451;7
13;0000101100000111010101000100010000000000001110;0.448157;4426;1000001110000110001110100000000000100000001110;0.0476914;471;0.29051;6
14;0000101100000111010101000000010000000000101110;0.459295;4536;0000001001010110010100000101010010000000011100;0.0317943;314;0.304661;8
15;0000101100000110010101000100010000000000110110;0.445525;4400;1000001101000111010000000100100000000001010110;0.0409072;404;0.309474;7
