geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000000000000001110110000000000000000;0.0942689;931;0100000000000100000000100000000000000000001001;0;0;0.0180853;5
1;0000000000000000000000001111000000010000000000;0.0861685;851;0000100000000000100000000100001010000000000000;0;0;0.0195909;15
2;0000000000000000000000001111001000000000000000;0.0881936;871;0000010000000000000000001001001000100000000000;0;0;0.0267588;19
3;0000000000000000000000000100110010000000100000;0.132949;1313;0000000010000100000000000100000010010000000000;0.000101256;1;0.0329951;16
4;0000000000000000000000000100110010000000100000;0.132949;1313;0010000000000000000000001001001000000000010000;0.000101256;1;0.0374241;15
5;0000000000100000000000000100110000000000100000;0.134265;1326;0000000000000010000000001001000010000001000000;0;0;0.0416474;18
6;0010000000000000000000000100110000000000100000;0.133556;1319;0100000000000010000000001001001000000000000000;0;0;0.0513021;28
7;0000000000000000000100000100110000000000100000;0.173957;1718;0001000000000010000001000100001000000000000000;0.000607533;6;0.0533374;10
8;0000000000000000000100000100110000000000100000;0.173957;1718;0010001000000000000000001100000000000100000000;0.00151883;15;0.0660065;17
9;0000000000000000000100000100110000000000100000;0.173957;1718;0000000000000010000000001000001000010100000000;0.00121507;12;0.0632108;11
10;0000000000000000000100000100110000000000100000;0.173957;1718;0010000000010000000000001000000010000000100000;0.000708789;7;0.0701924;15
11;0000000000000000000000001010110000000000100000;0.184285;1820;0000010000000000000010001000000100000000100000;0.000810045;8;0.0793327;23
12;0000000000000000000000001010110000000000100000;0.184285;1820;0000000100000000000010001000000000000000001100;0.00141758;14;0.0795778;11
13;0000000000000000000000000010110000010000100000;0.184083;1818;1010000000000000000000000100000000010010000000;0.000708789;7;0.079114;11
14;0000000000000000000000000010110000010000100000;0.184083;1818;0100000000000000100000000100100000001000000000;0.000101256;1;0.0809093;13
15;0000000000000000000000001110010000000000100000;0.16697;1649;0010000000000000000000100100100000001000000000;0.000101256;1;0.0947499;24
16;0000000000000000000000000110110000000000100000;0.208991;2064;0001000000000000000000001000110100000000000000;0.0082017;81;0.104801;24
17;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000010000000100010000000010000100000;0.0173147;171;0.113689;30
18;0000000000000000000100000100110000000000100000;0.173957;1718;0000000000011000000010000000100000000000100000;0.0112394;111;0.11363;31
19;0000000000000000000100000100110000000000100000;0.173957;1718;0000000000010000100000001000010000001000000000;0.00101256;10;0.119631;43
20;0000000000000000000000001010110000000000100000;0.184285;1820;0000000000000000000000000010010001000100000001;0.00263264;26;0.12366;41
