geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000000000000000010110010000000100000;0.159073;1571;0010000010000001000000000000000110000000000000;0;0;0.00804146;1
1;0000000000000000000000000010110010000000100000;0.159073;1571;0000000011100000000000000000000010000000000010;0;0;0.0123555;8
2;0000000000000000000000000010110010000000100000;0.159073;1571;1000100000010000000000000000000000000100000001;0;0;0.0180569;12
3;0000000000000000000000000010110010000000100000;0.159073;1571;0100000000000000000010000000000000100000000011;0;0;0.0237419;20
4;0000000100000000000100000000010000000000000110;0.174463;1723;0000000000000010000000000100001000001000000010;0;0;0.0306493;18
5;0000000000000000000000000010110100000000100000;0.174767;1726;0000100000000000000100000001100000000000001000;0;0;0.0348714;17
6;0000000000100000000100000000010000000000100100;0.177197;1750;0010000000000001000000001000000000100000010000;0;0;0.0388426;21
7;0000000000000000000100000000010000000100100100;0.200891;1984;0001000000000000000000010000100000000000011000;0;0;0.0452349;23
8;0000000000010000000100000000010000000000100100;0.178514;1763;0001000000000000100000000010000100000000010000;0.000303767;3;0.0538196;32
9;0000000000000000000100000010010000000000100010;0.187424;1851;0000000000000000101000000100100000000000001000;0;0;0.0643682;32
10;0000000000000001000100000000010000000000100010;0.188943;1866;0000100000010000000000000000010010010000000000;0.000303767;3;0.0725888;44
11;0000000000000001000100000000010000000000100010;0.188943;1866;0000000010000000100000000100010010000000000000;0.000607533;6;0.0818712;57
12;0000000000000000000100000100010000000000100010;0.205043;2025;0010000010000000000000010000010000001000000000;0.000405022;4;0.0946717;66
13;0000000000000000000100000100010000000000100010;0.205043;2025;0000000010000000000000010001110000000000000000;0.00162009;16;0.107409;107
14;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000100100000010000001000010000;0.0009113;9;0.123521;136
15;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000010100100000000000000001000100000;0.00243013;24;0.131247;143
16;0000000000000000000000000110110000000000100000;0.208991;2064;0001000000000000000000000000100100000000101000;0.00445525;44;0.14141;160
17;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000100000000000100010000010000000010;0.0180235;178;0.152253;204
18;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000010000010100000010000100000;0.0128595;127;0.155624;192
19;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000010010000010000000100000000000100000;0.0260227;257;0.160577;198
20;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000010100000010100000000000000001;0.0150871;149;0.169712;231
21;0000000000000000000000000110110000000000100000;0.208991;2064;0001000000000000000100000010000000001000100000;0.0464763;459;0.173876;244
22;0000000000000000000000000110110000000000100000;0.208991;2064;0010000000000100000000000010100000000000100000;0.0529567;523;0.176392;249
23;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000110000010100000000000000010;0.0063791;63;0.177216;235
24;0000000000000000000000000110110000000000100000;0.208991;2064;1000001000000000000000000010100000000000100000;0.0226812;224;0.176509;255
25;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000100000100010000000001000100;0.0388821;384;0.179207;263
26;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000100000100010000000001000100;0.0388821;384;0.183718;261
27;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000100000000000000110110000000000000000;0.0501215;495;0.180811;280
28;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000100000110100000000000000100;0.0441474;436;0.180046;278
29;0000000000000000000000000110110000000000100000;0.208991;2064;0001000000000000000100000000110000000000000001;0.0458688;453;0.184589;298
30;0000000000000000000000000110110000000000100000;0.208991;2064;0000000001000000000000000110100000000000010000;0.0261239;258;0.189653;309
31;0000000000000000000000000110110000000000100000;0.208991;2064;0001000000000000000100000000010000000100000100;0.026529;262;0.195448;334
32;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000001000000000110110000000000000000;0.0694613;686;0.202737;370
33;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110100000000010100000;0.0621709;614;0.204417;377
34;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000000010000;0.0574119;567;0.202356;370
35;0000000000000000000000000110110000000000100000;0.208991;2064;1000000000000000000000000110110000000000000000;0.0492102;486;0.202631;375
36;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000100000000110110000000000000000;0.049514;489;0.203807;379
37;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000001000000000;0.059032;583;0.205097;385
38;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000100000000110110000000000000000;0.049514;489;0.204363;382
39;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000000001000;0.049109;485;0.201863;371
40;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000000001000;0.049109;485;0.202139;372
41;0000000000000000000000000110110000000000100000;0.208991;2064;0010000000000000000000000110110000000000000000;0.0510328;504;0.203859;381
42;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000100110110000000000000000;0.049109;485;0.203621;381
43;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000100110110000000000000000;0.049109;485;0.203702;380
44;0000000000000000000000000110110000000000100000;0.208991;2064;1000000000000000000000000110110000000000000000;0.0492102;486;0.202598;379
45;0000000000000000000000000110110000000000100000;0.208991;2064;0000100100000000000000000110100000000000000000;0.0305792;302;0.204927;381
46;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000100110110000000000000000;0.049109;485;0.202606;374
47;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000010000000;0.0504253;498;0.203164;374
48;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000100000000110110000000000000000;0.049514;489;0.203942;378
49;0000000000000000000000000110110000000000100000;0.208991;2064;0000000010000000000000000110110000000000000000;0.0494127;488;0.202191;376
50;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000010000110110000000000000000;0.0494127;488;0.203658;377
51;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000100000000000000110110000000000000000;0.0501215;495;0.203271;376
52;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110100000000000101000;0.0600446;593;0.205433;383
53;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000100110110000000000000000;0.049109;485;0.205034;386
54;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000010000000;0.0504253;498;0.203879;379
55;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110010000000000000;0.0536655;530;0.204763;384
56;0000000000000000000000000110110000000000100000;0.208991;2064;0000010000000000000000000110110000000000000000;0.0515391;509;0.205088;385
57;0000000000000000000000000110110000000000100000;0.208991;2064;1000000000000000000000000110100000000000100000;0.0600446;593;0.206396;389
58;0000000000000000000000000110110000000000100000;0.208991;2064;1000000000000000000000000110110000000000000000;0.0492102;486;0.205342;383
59;0000000000000000000000000110110000000000100000;0.208991;2064;0000000010000000000000000110100000000000100000;0.0602471;595;0.204316;376
60;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000000000001;0.0501215;495;0.2022;374
61;0000000000000000000000000110110000000000100000;0.208991;2064;0100000000000000000000000110110000000000000000;0.0515391;509;0.205096;385
62;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000100000000;0.0575132;568;0.203665;375
63;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000000000001;0.0501215;495;0.20379;378
64;0000000000000000000000000110110000000000100000;0.208991;2064;0000000001000000000000000110110000000000000000;0.0521466;515;0.203992;378
65;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000010000000000000110110000000000000000;0.0568044;561;0.202988;370
66;0000000000000000000000000110110000000000100000;0.208991;2064;0001000000000000000000000110110000000000000000;0.0557918;551;0.203657;379
67;0000000000000000000000000110110000000000100000;0.208991;2064;0010000000000000000000000110110000000000000000;0.0510328;504;0.204536;380
68;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000100000000110110000000000000000;0.049514;489;0.202717;371
69;0000000000000000000000000110110000000000100000;0.208991;2064;0010000000000000000000000110110000000000000000;0.0510328;504;0.202456;380
70;0000000000000000000000000110110000000000100000;0.208991;2064;0000010000000000000000000110110000000000000000;0.0515391;509;0.2041;377
71;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000010000000000;0.0569056;562;0.20529;387
72;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000100000000110110000000000000000;0.049514;489;0.203309;379
73;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000100110110000000000000000;0.049109;485;0.204003;378
74;0000000000000000000000000110110000000000100000;0.208991;2064;0000000001000000000000000110110000000000000000;0.0521466;515;0.204566;382
75;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000100000000000000110110000000000000000;0.0501215;495;0.206485;390
76;0000000000000000000000000110110000000000100000;0.208991;2064;1000000000000000000000000110110000000000000000;0.0492102;486;0.204434;382
77;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110010000000000000;0.0536655;530;0.203127;378
78;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000010000000000000110110000000000000000;0.0568044;561;0.203954;382
79;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000100110110000000000000000;0.049109;485;0.202437;377
80;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110100000000000000;0.0528554;522;0.205454;383
81;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000100000000;0.0575132;568;0.203548;380
82;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000100000000110110000000000000000;0.049514;489;0.205008;384
83;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000100110110000000000000000;0.049109;485;0.2044;379
84;0000000000000000000000000110110000000000100000;0.208991;2064;1000000000000000000000000110110000000000000000;0.0492102;486;0.205881;387
85;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000010000000000;0.0569056;562;0.205427;388
86;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000010000000000;0.0569056;562;0.203095;378
87;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000010000000000000100110000010000000000;0.0250101;247;0.204679;383
88;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000001000000000;0.059032;583;0.205296;384
89;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000100000000000;0.062981;622;0.204866;383
90;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000010000000;0.0504253;498;0.204289;381
91;0000000000000000000000000110110000000000100000;0.208991;2064;0000000000000000000000000110110000000010000000;0.0504253;498;0.204722;381
