geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000100000100000000010000000000100010;0.0177197;175;1001000000000100100100000000000000000000000000;0;0;0.000310855;1
1;0000000000000000001001000000000000011000010000;0.0189348;187;0000000000000001000000001000001000000010010000;0;0;0.000276428;2
2;0000000000000000001001000000000000011000010000;0.0189348;187;0000000100000100100000000000000000000000010100;0;0;0.000547793;3
3;0000000000000000001001000000000000011000010000;0.0189348;187;0100000000000000000000000000010001000001010000;0;0;0.000479951;1
4;0000000000000000000000001000001000011010000000;0.00627785;62;0001000000100000000000000100000001100000000000;0;0;0.000449575;1
5;0000000000000000100000000000001000011001000000;0.00982179;97;0001000000100000001000100000100000000000000000;0;0;0.000648036;3
6;0000000000000000000001000000000001001100001000;0.0214662;212;0001000000100000000000000100000000000000101000;0;0;0.00171932;7
7;0000000000000000000001000000000001001100001000;0.0214662;212;0000000000010000000000000000010000010000010001;0;0;0.00210105;3
8;0000000000000000000000000000110001001000100000;0.0306804;303;0000000000010000000000000000000001001100001000;0;0;0.00406541;13
9;0000000000000000000000000000110001001000100000;0.0306804;303;0000000000000010000000000000000001001100001000;0;0;0.00499595;19
10;0000000000000000000000000000110001001000100000;0.0306804;303;0000000000000000100000001000000000101000001000;0;0;0.00602774;20
11;0000000000000000000000000000110001001000100000;0.0306804;303;0000000000000001000000010000010000010000001000;0;0;0.00744431;20
12;0000000000000000000000000000110001001000100000;0.0306804;303;0000000000000000000001000000000001001101000000;0;0;0.00907149;21
13;0000000000000000000000000000111001000000100000;0.0344269;340;0000000000000000000000000010100001001000100000;0;0;0.00862697;22
14;0000000000000000010001000000000000001100001000;0.0350344;346;0000000000000000100000000100000000001000101000;0;0;0.00910389;25
15;0000000000000000000000000000111001000000100000;0.0344269;340;0000000000100000011001000000000000000000100000;0;0;0.0126002;40
16;0000000000000000000000000000111001000000100000;0.0344269;340;1000000000000000001000000000010000100000100000;0;0;0.0133111;38
17;0000000000000010000000000000110001000000100000;0.0395909;391;0100000000000000010000000000001000001000100000;0;0;0.0163842;33
18;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000010000000001000100000000010000001000;0;0;0.0176661;33
19;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000000000001010100001000;0;0;0.0180397;31
20;0000000000000100000000000000110001000000100000;0.041616;411;0000000000000000000000011000000001010000001000;0;0;0.0205701;43
21;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000010001010000000000001000100000;0;0;0.0203504;41
22;0000000000000000000100000000110001000000100000;0.0508303;502;0001000000000000000000000000000000011010001000;0.000202511;2;0.0255397;51
23;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000010000000100000001001000000100000;0.00151883;15;0.0286837;57
24;0000000000000000000100000000110001000000100000;0.0508303;502;0100000000000000000000000010110000000000100000;0.00121507;12;0.0317375;62
25;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000000010001000000101000;0.00607533;60;0.0345535;71
26;0000000000000000000100000000110001000000100000;0.0508303;502;0010000000000010000100000000010000000000100000;0.00303767;30;0.0375881;78
27;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000010010000000000000110001000000000000;0.00263264;26;0.0401235;80
28;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000000010001000000110000;0.00678412;67;0.0415067;80
29;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000100000000000010110001000000000000;0.00222762;22;0.045644;89
30;0000000000000000000100000000110001000000100000;0.0508303;502;0000000010000000000100000000010001000000100000;0.00617659;61;0.0479526;92
31;0000000000000000000100000000110001000000100000;0.0508303;502;0010000000000000000100000000110000000000100000;0.0192386;190;0.0498968;95
32;0000000000000000000100000000110001000000100000;0.0508303;502;0000100000000000000100000000010001000000100000;0.0140745;139;0.0498816;97
33;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000001010001000000100000;0.00850547;84;0.0496082;96
34;0000000000000000000100000000110001000000100000;0.0508303;502;1000000000000000000100000000010001000000100000;0.00617659;61;0.0478332;91
35;0000000000000000000100000000110001000000100000;0.0508303;502;0001000000000000000100000000110001000000000000;0.00870798;86;0.0491667;94
36;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100100000010001000000100000;0.00607533;60;0.0482868;93
37;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000010110001000000000000;0.00708789;70;0.0496396;97
38;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000100110001000000000000;0.00718915;71;0.048545;93
39;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000000010001100000100000;0.00617659;61;0.048145;91
40;0000000000000000000100000000110001000000100000;0.0508303;502;0010000000000000000100000000110001000000000000;0.00789793;78;0.0496548;95
41;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000000100001100000100000;0.00870798;86;0.049194;95
42;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000001110001000000000000;0.00708789;70;0.0470454;88
43;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000000010001010000100000;0.00688538;68;0.0475719;90
44;0000000000000000000100000000110001000000100000;0.0508303;502;0000000010000000000100000000010001000000100000;0.00617659;61;0.0481703;92
45;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000100010001000000100000;0.00759417;75;0.0487931;93
46;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000100110001000000000000;0.00718915;71;0.0500689;98
47;0000000000000000000100000000110001000000100000;0.0508303;502;0000010000000000000100000000010001000000100000;0.00688538;68;0.0490179;95
48;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000100100000000110001000000000000;0.00739166;73;0.0494826;95
49;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000110000000110001000000000000;0.00708789;70;0.0493884;96
50;0000000000000000000100000000110001000000100000;0.0508303;502;0000000000000000000100000000110001000010000000;0.00708789;70;0.0498785;97
=============================================
geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000100000100000000010000000000100010;0.0177197;175;0001100000100010000000000000000000000000000100;0;0;0.000283516;1
1;0000000000000100000100000000010000000000100010;0.0177197;175;0000000000000000000110000100000010000000010000;0;0;0.000201499;1
2;0000100000000010000000000000010000000000100010;0.0054678;54;0000100000000000000000000000000001110100000000;0;0;0.000162009;1
3;0000000000000100000100000000011000000001000000;0.00698663;69;0000000110000000000000010000000000001000010000;0;0;0.000242001;4
4;0000000001010000000000000100010000000000100000;0.00243013;24;0000100000000000100000000000001000000000100010;0;0;0.000131632;1
5;0000000000000000010001000000000010010100000000;0.0163021;161;0000000001010000000000000000000100000000000011;0;0;0.000409072;2
6;0000000000000000010001000000000010010100000000;0.0163021;161;0000100000001001000000000000000100000010000000;0;0;0.000796881;6
7;0000000000000000010001000000000010000100000010;0.0302754;299;0000000000000000001100010000000000001000000010;0;0;0.00213042;4
8;0000000000000000010001000010000000000100000010;0.0304779;301;0000100000001001000000000000000100000010000000;0;0;0.00192892;4
9;0000000000010000010001000000000000000100000010;0.0300729;297;0000010000000000010000010000000000010000100000;0;0;0.00293236;7
10;0000000000000000000000000000000100010100101000;0.0242001;239;0000000000000000001101000010000000010000000000;0;0;0.00288072;6
11;0000000000000000010001000000000000101100000000;0.0254151;251;0000000010010000000010000000000001000100000000;0;0;0.00376671;12
12;0000000000000000010001000000000000101100000000;0.0254151;251;1000000000000000000100000000000011000000000100;0;0;0.00399352;13
13;0000000000000000010000000000000000001100010001;0.0205549;203;0000000000000000010000001000010100000000000001;0;0;0.00521973;24
14;0000000000000000000000000000000100010100110000;0.0255164;252;0000000000000000000000000000001000110001100000;0;0;0.00791819;20
15;0000000000000000000000000000000100010100110000;0.0255164;252;0000000010000000000000010000100000000000100010;0;0;0.0108384;23
16;0000000000000000010000000000000000011100100000;0.0374646;370;0000000000000010000000000000000100000111000000;0;0;0.0140381;28
17;0000000000000000000001000000000000011100100000;0.0383759;379;0000000000000000000010000100000000001100000100;0;0;0.0148967;27
18;0000000000000000010000000000000000011100100000;0.0374646;370;0000000000000000100001000000000000001100000100;0;0;0.0154101;21
19;0000000000000000000010000000000100011100000000;0.0473876;468;0000000000010000000000000000100000010011000000;0;0;0.016609;27
20;0000000000000000000010000000000100011100000000;0.0473876;468;0001000000000000000000000000000101000100010000;0;0;0.0210845;30
21;0000000000000000000010000000000100011100000000;0.0473876;468;0000010000000000000000000000000100010000110000;0.000101256;1;0.0226246;42
22;0000000000000000000010000000000100011100000000;0.0473876;468;0000000000000000010000000001000000001000110000;0;0;0.0239064;41
23;0000000000000000000010000000000100011100000000;0.0473876;468;0000000000000000010000000001000000001000110000;0;0;0.0275749;51
