geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000000000000001110110000000000000000;0.0282503;279;1000000100010000000000001000000000000000001000;0;0;0.00132949;4
1;0000000000000000000000001110110000000000000000;0.0282503;279;0000100000000000000010000001000001000100000000;0;0;0.00131835;6
2;0000000000000000000000001110110000000000000000;0.0282503;279;1000000000001000000000000100000000100000000001;0;0;0.00184488;16
3;0000000000000000000000000000100000011100010000;0.0230863;228;0000000001000000000000000010100010000000100000;0;0;0.0022013;18
4;0000000000000000000000000110011000000000100000;0.0335156;331;0000000000010010000000010000000010010000000000;0;0;0.00368874;26
5;0000000000000000000000000110011000000000100000;0.0335156;331;0000000000000010000100000000001000001010000000;0;0;0.00350851;17
6;0000000000000000000000000110011000000000100000;0.0335156;331;0000000100000000000000000111000100000000000000;0;0;0.00425577;27
7;0000000000000100000100000010010000000000100000;0.0389834;385;0000000100000000000000000010110000010000000000;0;0;0.00607432;31
8;0000000000000100000100000010010000000000100000;0.0389834;385;0100000000000000000000000100100000010000100000;0;0;0.00782908;24
9;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000010000110000100000000001000000000;0;0;0.0102076;24
10;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000100000000110010000010000000000;0;0;0.0136087;25
11;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000000000100010000000001100001;0;0;0.015482;29
12;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000000000100000010000100010100000000;0;0;0.0194735;37
13;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000100000100000000010000000100000001;0;0;0.0215249;41
14;0000000000000000000100000010010000000000100010;0.0480964;475;0000100000100000000000000000010100000100000000;0;0;0.0245686;45
15;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000100000001000000000100010000000001;0;0;0.0267132;51
16;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000100000100000010000000000100100000;0;0;0.0291262;62
17;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000000100100000010000000000000100010;0.000405022;4;0.0323977;71
18;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000000000000000010011000001000000010;0.00769542;76;0.0348663;78
19;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000000000100000000011100000000100000;0.00850547;84;0.0368742;86
20;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000000000100000010010000000010100000;0.0121507;120;0.0376509;91
21;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000000000100000010001000100000100000;0.0116444;115;0.0380943;92
22;0000000000000000000100000010010000000000100010;0.0480964;475;1000000000000000000100000010010000000000100000;0.0121507;120;0.0372094;89
23;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000000000100100000011000000000100000;0.00810045;80;0.0378321;92
24;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000000011000000000100001;0.00850547;84;0.0379313;94
25;0000000000000000000100000010011000000000100000;0.0392872;388;0010000000000000000100000010010000000000100000;0.013062;129;0.0390249;99
26;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100001010001000000000100000;0.0133657;132;0.0385925;96
27;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000010100000010001000000000100000;0.013062;129;0.0383445;97
28;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000110000000011000000000100000;0.0082017;81;0.0376903;93
29;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000000011000000000100001;0.00850547;84;0.0371446;91
30;0000000000000000000100000010011000000000100000;0.0392872;388;0000000010000000000100000000011000000000100000;0.00810045;80;0.0384133;95
31;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000010001000010000100000;0.0116444;115;0.0383414;95
32;0000000000000000000100000010011000000000100000;0.0392872;388;0100000000000000000100000010011000000000000000;0.0139733;138;0.0387991;98
33;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000000011000000000110000;0.00880923;87;0.0380417;95
34;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000000011000000010100000;0.00810045;80;0.0372661;91
35;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100100010001000000000100000;0.0116444;115;0.0380387;94
36;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000010001000000000101000;0.0116444;115;0.0377713;93
37;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000000011000000001100000;0.0164034;162;0.0387566;97
38;0000000000000000000100000010011000000000100000;0.0392872;388;0000000001000000000100000000011000000000100000;0.0101256;100;0.0378098;93
39;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000010010000000000100001;0.0126569;125;0.0376063;93
40;0000000000000000000100000010011000000000100000;0.0392872;388;0000010000000000000100000000011000000000100000;0.00891049;88;0.0380822;93
41;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000010001000000000101000;0.0116444;115;0.0382118;95
42;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000010001000000000101000;0.0116444;115;0.0363507;87
43;0000000000000000000100000010011000000000100000;0.0392872;388;0100000000000000000100000000011000000000100000;0.00850547;84;0.037096;90
44;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000000011100000000100000;0.00850547;84;0.0372306;91
45;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000110000000011000000000100000;0.0082017;81;0.0378777;93
46;0000000000000000000100000010011000000000100000;0.0392872;388;1000000000000000000100000000011000000000100000;0.0082017;81;0.038715;98
47;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000000011100000000100000;0.00850547;84;0.0380771;95
48;0000000000000000000100000010011000000000100000;0.0392872;388;0000000010000000000100000000011000000000100000;0.00810045;80;0.0385662;95
49;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000000100000010011000010000000000;0.0137708;136;0.0386381;96
50;0000000000000000000100000010011000000000100000;0.0392872;388;0000000000000000100100000010001000000000100000;0.0117456;116;0.0387252;97
=============================================
geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000000000000001110100010000000000000;0.0181247;179;0001000000000010000000000100000000100000010000;0;0;0.000869785;1
1;0000000000000000000000001110100010000000000000;0.0181247;179;0000001000010000000000000000100001010000000000;0;0;0.00144694;13
2;0000000000000000000000001110100010000000000000;0.0181247;179;0000000000001000000000001000110000000000000001;0;0;0.00184285;17
3;0000000000000000000000000010011000000010100000;0.022175;219;0000000000010000000000000101000100010000000000;0;0;0.00282604;25
4;0000000000000000000000000010011000000010100000;0.022175;219;0001001000000000000000000010100010000000000000;0;0;0.00366748;28
5;0000000000000000000000000010011000000010100000;0.022175;219;0000000000000000000000000010100000000000100110;0;0;0.00449068;23
6;0000000000000000000000000010011000000010100000;0.022175;219;0000000000000000000010000110010001000000000000;0;0;0.00549615;22
7;0000000000000000000000000010011000000010100000;0.022175;219;0000000000000000001000000110100000000000010000;0;0;0.00765593;34
8;0000000000000000000000001110100000000000100000;0.0307817;304;0000000000000000000000100010100100000000100000;0;0;0.00776529;33
