geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000001000000110010100000110011001011000100010;0.608647;6011;1110010001110010100001100001001100000000000000;0.0264277;261;0.212915;1
1;0000001000000110010100000110011001011000100010;0.608647;6011;0000011010010000001000100000000001100111001101;0.0655124;647;0.246992;2
2;0000001000000110010100000110011001111000100000;0.603686;5962;1100000011100100010000000100100011000010000011;0.0705751;697;0.273002;6
3;0010000000000100000101001110011000000110001110;0.586472;5792;0110010000010100100000101001000000010110100100;0.0815107;805;0.303573;4
4;0010000000000100010100000110111010000100100110;0.598825;5914;1110000010010000000000001101010001101010000100;0.0818145;808;0.343552;4
5;0010100000000010010101000100010000000101101110;0.59275;5854;0111000000010100110000101000000001000100010110;0.137809;1361;0.373349;4
6;0000101000000100000101001100011101010000100010;0.595383;5880;0000000010000100100001000100001101100010111001;0.184589;1823;0.410058;5
7;0010000000000100011101001100110000001000100110;0.635277;6274;0011011000100010000000000100010001001101010001;0.190765;1884;0.438641;4
8;0000100000000010011101001100110000001000100110;0.645808;6378;0001110000001000011000000111000100000010010110;0.176792;1746;0.473122;4
9;0000100100000100001101010110110000000000011010;0.627987;6202;0000010100000001010101101000001010010000001110;0.22823;2254;0.495467;2
10;0010100000000110010100010110010000000010101010;0.627278;6195;0100001000100011000010000110000011010000110100;0.212434;2098;0.505956;4
11;0000001000000010000101010110110000000100110110;0.654111;6460;0010000100000001010100001001110011000100010010;0.266201;2629;0.522054;2
12;0001001000000010010101000110111000000000100110;0.649757;6417;0010011100000000110001000100000100111010100000;0.181956;1797;0.526898;4
13;0000001000000100010101001100010100001010100110;0.628696;6209;1000100100000000011001001111110000001001000000;0.26853;2652;0.535304;2
14;0000001000000110010101000110111000100000100010;0.640239;6323;0010001001000100111100001010100000000110000100;0.207979;2054;0.538506;2
15;0000000000000110011101001110010001001000100010;0.676995;6686;0000100100010010011000100100000101001000110010;0.272681;2693;0.539717;6
16;0000100000000000010101001100111100010000100110;0.661199;6530;0010000000100100001011000101010100100000110001;0.217396;2147;0.550173;13
17;0000001000000010000100000110111000000100111110;0.641353;6334;0100001000000010010101000100000110110000111000;0.30407;3003;0.559667;11
18;0000100000000100010101001110010000000111100010;0.647023;6390;0100000110000000001001101100000000001001101110;0.212839;2102;0.562897;8
19;0000100000010110000101010110010000001000101010;0.656541;6484;0000011010001110000001000100100010001010010010;0.203422;2009;0.563606;8
20;0000100000000100010101010110010000011000100110;0.667578;6593;0000001000001100000011001110000000001111100010;0.31936;3154;0.571472;7
21;0000100000000100011101001110010000001000101010;0.662718;6545;0010000100000010000001001100100100100100101110;0.308829;3050;0.575462;7
22;0000001000000100010101001110010000000110100110;0.66292;6547;0110000000101100000101000010010001100100110000;0.341636;3374;0.579887;7
23;0000001000000100010101001110010000000110100110;0.66292;6547;0001000010000001010010100101010000001000001111;0.217902;2152;0.579013;9
24;0000100000000010110101001110010000000010100110;0.671021;6627;0100000000010111010000110110000001000000110010;0.310045;3062;0.583341;18
25;0000001000000110010101001110010001001000100010;0.665857;6576;1010001000001010010001000100011010001000001010;0.261239;2580;0.586394;9
26;0000000000001110010101000110011000011000100010;0.670008;6617;0010000000000100010011100110110000100001100010;0.367558;3630;0.592643;9
27;0000000000000100011101011100110000001000100110;0.679425;6710;0000001000000010011001011010000001001111100000;0.313487;3096;0.59194;11
28;0000100000000100011101001110010000000110100010;0.673046;6647;0000101000001001010101001000111000000100100001;0.347205;3429;0.593484;8
29;0000100000000110001101010110010000000100101010;0.673653;6653;0000000001000110010001010100000100010101110010;0.298096;2944;0.588356;10
30;0000000000000100010101001110011001000100100110;0.682868;6744;0000101000010010001001000110001001001000101010;0.347914;3436;0.591828;13
31;0000100000000110111101010110010000000000101000;0.672944;6646;0010000010001000010111010100110000000100100100;0.355205;3508;0.593681;11
32;0000100000000110111101010110010000000000100010;0.687829;6793;0000000010010110010000011110010010001000010100;0.32665;3226;0.59348;8
33;0000000000001110010101001110010000001000100110;0.689247;6807;0100001000000000001001001111010010000101100100;0.330701;3266;0.591523;5
34;0000100000000110111101010110010000000000100010;0.687829;6793;0010100000001010000100001110101000100101001000;0.227319;2245;0.593996;9
35;0000000000001110010101001110010000001000100110;0.689247;6807;0000000110100000110111000110000000001000110010;0.320069;3161;0.597312;9
36;0000000000001110010101001110010000001000100110;0.689247;6807;1000000100100010010001000110011000000100100101;0.362697;3582;0.603068;15
37;0000100000000100010101001110110000001000100110;0.680134;6717;0000001001000100100001010110110000101000110000;0.346699;3424;0.598156;7
38;0000000000000100010101010110110000010010100110;0.679121;6707;1000001010001100010101001010100000000000110010;0.343358;3391;0.597773;8
39;0000000000000110110101001110010000001000100110;0.688943;6804;1100000000000100010010011101000001000000110110;0.252936;2498;0.597687;7
40;0000100000000010010101001110110000010000100110;0.679729;6713;0100000000000100010011011100100001000010110010;0.314297;3104;0.600283;15
41;0000000000001110010101000110111000010000100010;0.682159;6737;0101001000001000010100011100011000100100100000;0.374949;3703;0.60168;14
42;0000000000001110010101001110110000000010100010;0.690664;6821;0100000001000010010111011100000001000100000110;0.358141;3537;0.602798;22
43;0000000000000110010101001110110000001000100110;0.688842;6803;1000100010000011010001001110000100000000100110;0.385682;3809;0.61004;19
44;0000000000001110010101001110010000001000100110;0.689247;6807;0100000010000010000001011110011001000100100100;0.354091;3497;0.61144;15
45;0000100000000110011101001110010000000000100110;0.67902;6706;0000101100010101010001010110000000101000100000;0.387303;3825;0.61162;10
46;0000000000001110010101001110010000000010100110;0.686108;6776;0000010100000101010001001110010000100010110000;0.370494;3659;0.614092;18
47;0000100000000110011101001110010000010000100010;0.683171;6747;0000010000001110010101001010000000000010111010;0.36533;3608;0.612971;22
48;0000100000000110011101001110010000001000100010;0.685399;6769;0000000010001000000110001110110000000100101101;0.339915;3357;0.61267;16
49;0000000000000110111101001110010000000010100010;0.686513;6780;0000011000000000011101000011110000101000010010;0.339409;3352;0.617646;15
50;0000100000000110011101001110010000000100100010;0.684893;6764;0000000000001110111101001110000000000000110001;0.381531;3768;0.618414;15
51;0000100000000110011101001110110000000000100010;0.692183;6836;0000000001000100011111001110110100000100000000;0.38143;3767;0.617281;18
52;0000000000000110111101001110010000000010100010;0.686513;6780;0000111000000101000001001110100001000010100010;0.35723;3528;0.616536;10
53;0000000000000110011101001110110000000010100010;0.686513;6780;0000000010010110000101101111000010000000110000;0.265796;2625;0.618841;17
54;0000001000000110011101001110110000000000100010;0.691272;6827;0000000101001100011001001010110000000000101010;0.380316;3756;0.622815;25
55;0000100000000110011101001110110000000000100010;0.692183;6836;0100000000101110011101001000010001000010100000;0.372924;3683;0.619437;30
56;0000000000001110010101001110010000001010100010;0.686108;6776;1000100010000010010001101010010100000000100110;0.364419;3599;0.623314;19
57;0000000100001110010111001110010000000000100010;0.689348;6808;0000010000000100111111001110010010000000100000;0.373228;3686;0.627305;29
58;0000000000001110010101001110010000000010100110;0.686108;6776;0000001000000100111001001110000000100100100011;0.322195;3182;0.630588;28
59;0000000000001110010101001110110000000010100010;0.690664;6821;0000000000000110011101001010001100000010100011;0.394188;3893;0.632656;27
60;0000000000001110011101001110010000001000100010;0.689854;6813;0010000000001100011101101110110000000100000000;0.347408;3431;0.627699;19
61;0000100000000110011101001110110000000000100010;0.692183;6836;0001000000001010110111101110010001000000000000;0.312475;3086;0.622967;20
62;0000000000001110011101001110010000001000100010;0.689854;6813;0010000000000110011111001010010000101000100000;0.380113;3754;0.627372;15
63;0000000000001110010101001110110000010000100010;0.692284;6837;0000010000001110010101101010011000001000100000;0.374443;3698;0.629173;23
64;0000000000001110010111001110010000001000100010;0.689854;6813;1000010100000110110001001100000010011000100000;0.198967;1965;0.623906;15
65;0000000000001110010101001110110000000010100010;0.690664;6821;0000000000100111100101101111000000010000000010;0.376063;3714;0.624783;14
66;0000000000001110010101001110110000000010100010;0.690664;6821;0000010000010110011101001010010000000010100001;0.320676;3167;0.620902;12
67;0000000000001110010111001110010000001000100010;0.689854;6813;1000011000000000010101001110010000101100100000;0.362697;3582;0.626066;29
68;0000000000001110010101001110110000000010100010;0.690664;6821;0000000000010001111101001110100000011000000010;0.343459;3392;0.626555;28
69;0000000100000110111101001110010000000000100010;0.692791;6842;0000000000000010111001101011010000000100100011;0.339206;3350;0.631199;43
70;0000000100000110111101001110010000000000100010;0.692791;6842;0000010000100110011001010111000000000010100100;0.266201;2629;0.632815;28
71;0000100000000110111101001110010000000000100010;0.692993;6844;0001000001000100110001011100110010000010100000;0.274403;2710;0.631328;28
72;0000100000000110111101001110010000000000100010;0.692993;6844;0000000001000010010111001011010100000010100010;0.397631;3927;0.630822;28
73;0000100000000110111101001110010000000000100010;0.692993;6844;0000100010000101011001001010010000000110100010;0.379708;3750;0.631561;37
74;0000000000001110010101001110110000001000100010;0.693499;6849;0100010000001100010100001110010001000010101000;0.363507;3590;0.633821;45
75;0000000000001110010101001110110000001000100010;0.693499;6849;0010001000010010011101001110100000000010000010;0.408161;4031;0.637879;39
76;0000000000000100010101001110010000011010100110;0.694107;6855;0000000000000111011101000011010000010110100000;0.389631;3848;0.636008;35
77;0000000000000100010101001110010000011010100110;0.694107;6855;0000000100001000011101001110000001010000100011;0.378088;3734;0.635152;40
78;0000000000000100010101001110010000011010100110;0.694107;6855;0100100000000110011111001010100000000100100000;0.379708;3750;0.636669;48
79;0000100000001110011101001110010000000000100010;0.692588;6840;0000000000100110011011101110110000000000100000;0.373127;3685;0.641985;54
80;0000000100000110111101001110010000000000100010;0.692791;6842;0000000000011110010111001010011000000010100000;0.371102;3665;0.644041;51
81;0000000000001110011111001110010000000000100010;0.693398;6848;0000000000001110011111001010010000010000100001;0.382645;3779;0.643377;44
82;0000000000001110010101001110110000001000100010;0.693499;6849;0000010000001010011101101010010000001100000010;0.349737;3454;0.647774;64
83;0000000000001110011111001110010000000000100010;0.693398;6848;0100010000000010011111001110010000000110000000;0.361685;3572;0.648418;65
84;0000000000001110011111001110010000000000100010;0.693398;6848;0000100000101111010001001110010010000000010000;0.469826;4640;0.649728;68
85;0000000000001110011111001110010000000000100010;0.693398;6848;0000000000001100011101101110100000001000100010;0.435703;4303;0.647974;69
86;0000000000001110011111001110010000000000100010;0.693398;6848;0000000000001101110011001110010000000010100010;0.425273;4200;0.650951;74
87;0000000000001110010101001110110000001000100010;0.693499;6849;1000100000000010011011001010010000001100100010;0.376772;3721;0.644973;67
88;0000100000000110111101001110010000000000100010;0.692993;6844;0000000110000110010101001010000000101000100011;0.415452;4103;0.645287;73
89;0000100000000110111101001110010000000000100010;0.692993;6844;0000010000000010011011001110010000000000101011;0.393479;3886;0.649525;73
