geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000100000100000000010000000000100010;0.0177197;175;0000010000000000000000001000000000110000001000;0;0;0.000180741;1
1;0000000000000100000100000000010000000000100010;0.0177197;175;0000000000000000000000001011000000000000010001;0;0;0.000180488;1
2;0000001000000010000000000000110000000000100000;0.0208586;206;0010000000010001000000100000010000000000000000;0;0;0.000298704;3
3;0000000000000000000000000000000010100100011000;0.0165047;163;0010010010000000100000010000000000000000000000;0;0;0.000398694;4
4;0000000000000000000000000000000010100100011000;0.0165047;163;0000000000100000000000101000000000101000000000;0;0;0.000458688;4
5;0000000000001000001100000000010000000000000100;0.0195423;193;0010001000000010000000000000000100000001000000;0;0;0.00059918;4
6;0000000000000000001110000000000000001010000000;0.0264277;261;0100000000000000000010000000000000110000010000;0;0;0.000753848;3
7;0000000000000001000100000010010000000000100000;0.0250101;247;0000000000000100000010000000001000100000000001;0;0;0.000938892;5
8;0000000000000000001100000010010000000000100000;0.0250101;247;0000000100000010000000100000000000011000000000;0;0;0.00113305;5
9;0000000000000000000100000010110000000000100000;0.0300729;297;0010000000100000000000000000000000000000101100;0;0;0.00163907;8
10;0000000000000000000000011100101000000000000000;0.0271365;268;0000010000001000000010000000010000000000010000;0;0;0.00217826;18
11;0000000000000000000100000010010000000000100100;0.0474889;469;0000001000000000001100010000000000000000000100;0;0;0.0030488;12
12;0000000000000000000100000010010000000000100100;0.0474889;469;0000000000011000010000010000100000000000000000;0;0;0.00343535;21
13;0000000000000000000100000010010000000000100010;0.0480964;475;0000000000000001001000000010010000000000010000;0;0;0.00404769;25
14;0000000000000000000100000010010000000000100100;0.0474889;469;0000000000000100010000010100001000000000000000;0;0;0.00474433;35
15;0000000000000000000000011110001000000000000000;0.0602471;595;0000000000000000001000000011000000001000000100;0;0;0.00539616;31
16;0000000000000000000000011110001000000000000000;0.0602471;595;0000000010000000101100000010000000000000000000;0;0;0.00694259;40
17;0000000000000000000000011110000000000000100000;0.0620697;613;0010000110000100000000000000010000000000000000;0;0;0.00768099;39
18;0000000000000000000000011110001000000000000000;0.0602471;595;0000000000001000000101000000010000001000000000;0;0;0.00909528;53
19;0000000000000000001000011110000000000000000000;0.0578169;571;0000000000001000010000000010000000000000101000;0;0;0.00955321;51
20;0000000000001000000000011110000000000000000000;0.0579182;572;0000010000001000000000000010100000000100000000;0;0;0.0111548;70
21;0000000000000000000000011110000000000000100000;0.0620697;613;0000000000000000001001000000000000100000110000;0;0;0.0120742;88
22;0000000000000000000000011110000000000000100000;0.0620697;613;0000000000000000000100000010000000000000100011;0;0;0.0133875;95
23;0000000000000000000000011110000000000000000100;0.0601458;594;0000000010000100100000000010010000000000000000;0;0;0.0151536;97
24;0000000000000000000000011110000000000000000100;0.0601458;594;0000000000000000000100000010100000001000100000;0;0;0.0157731;102
25;0000000000000000000000011110000000000000000100;0.0601458;594;0000000000001100000100000010000000000000000100;0;0;0.0167672;99
26;0000000000000000000000011110000000000000000100;0.0601458;594;0000001000000000000100001000110000000000000000;0;0;0.0178622;109
27;0000000000000000000000011110000000000000000100;0.0601458;594;0000100000000000010010000000100000000000000100;0;0;0.0189168;107
28;0000000000000000000000011110000000000000100000;0.0620697;613;0100010100000000000100000000100000000000000000;0;0;0.020303;120
29;0000000000000000000000011110000000000000100000;0.0620697;613;0000000000000000000100000110101000000000000000;0;0;0.0207979;131
30;0000000000000000000000011110000000000000100000;0.0620697;613;0000000000000000000100100010000000000000100010;0;0;0.0221165;139
31;0000000000000000100000011110000000000000000000;0.0571081;564;1000000000000000000000010000110001000000000000;0;0;0.0218023;138
32;0000000000000000100000011110000000000000000000;0.0571081;564;0000001000000000000100000010110000000000000000;0;0;0.0224997;148
33;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000010000000000000110100000000000010;0;0;0.0211378;129
34;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000000100010100000000000100100;0;0;0.0218355;145
35;0000000000000000000100000000110000000000100010;0.0567031;560;1000000010000000000000000000010000000000100100;0;0;0.0235462;176
36;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000000100010100000010000100000;0;0;0.0240547;181
37;0000000000000000000100000000110000000000100010;0.0567031;560;0000100001000100000100000000000000000000100000;0;0;0.0248172;171
38;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000100000100100000011000000000000000;0;0;0.0254424;180
39;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000100000010000000000001100010;0;0;0.025952;196
40;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000001000000100000001000100001;0;0;0.0250749;184
41;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000100000010001001000000000001;0;0;0.025991;205
42;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000100000000001000001010100000;0;0;0.0270537;201
43;0000000000000000000100000000110000000000100010;0.0567031;560;1001000000000100000000000010010000000000000000;0;0;0.0278397;207
44;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000100000010110010000000000000;0;0;0.0288952;214
45;0000000000000000000100000000110000000000100010;0.0567031;560;0000000010000010000100000010010000000000000000;0;0;0.0292896;213
46;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000100000000110000001100000000;0;0;0.0283168;205
47;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000000000000100101000010100000;0;0;0.0271924;200
48;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000000000110100000110000000000000000;0;0;0.0284525;202
49;0000000000000000000100000000110000000000100010;0.0567031;560;0000000000000110000100000000010000001000000000;0;0;0.0285376;188
50;0000000000000000000100000000110000000000100010;0.0567031;560;0000100000000010000100000010000000000000000010;0;0;0.0286365;196
=============================================
geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000000000000000000000001001000011010;0.0211624;209;1100001100000000010000000000000000000000000000;0;0;0.000231116;1
1;0000000000000000100100000010011000000000000000;0.013872;137;0000000000000001000001001000011000000000000000;0;0;0.000200739;2
2;0000000000000101000000000010000000000000100100;0.00739166;73;0001000100000000000000100010000000000000000100;0;0;0.000194664;2
3;0000100000000100000001000000000000000000001010;0.013467;133;0000000000001000000000000001010000000000010001;0;0;0.000237191;3
4;0000000000000000000000001000000100011010000000;0.0214662;212;0000010000100000001000000010000000000010000000;0;0;0.000318955;1
5;0000000000000000000010000000000100011000000010;0.0294654;291;0000000100010000000100000001000100000000000000;0;0;0.000544502;2
6;0000000000000000000010000000000100011000000010;0.0294654;291;0000100000001000000000100010000010000000000000;0;0;0.000784984;5
7;0000000000000000000010000000000100011000001000;0.0303767;300;0000000000000010000000100000110000001000000000;0;0;0.00102142;5
8;0000000000000000100000000000000000001100011000;0.0220737;218;1000000010000000001000000100000000000000100000;0;0;0.00128696;9
9;0000000000000000000000000000000000001100011010;0.0365533;361;0100100000000000000000001001000000000000100000;0;0;0.00161275;9
10;0000000001000000000000000000110001000000100000;0.0306804;303;0000000001000001000000000000010000010000000001;0;0;0.00209827;10
11;0000000001000000000000000000110001000000100000;0.0306804;303;0000000110010000000000000000000100000000100000;0;0;0.00301109;16
12;0000001000000000000000000000110001000000100000;0.0349332;345;0000000001000000010000000000000000010000100010;0;0;0.00366976;22
13;0000000000000100000000000000110000000000100100;0.037262;368;0000000100000000001000100000000000000000100100;0;0;0.00434943;26
14;0000000000000000000100000000110001000000100000;0.0508303;502;1000000000100000000000000000010001000010000000;0;0;0.00525036;21
15;0000000000000100000000000000110001000000100000;0.041616;411;0000100100000001000000000000100000000000100000;0;0;0.00596193;32
16;0000000000000000000000000000011011000001000000;0.0406035;401;1000000000000010010000000000001000000000100000;0;0;0.00689905;30
