geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000000000100000100000100010000000000000010;0.226914;2241;0000000000000000000010001000100000000000001010;0;0;0.0104567;1
1;0000000000000100000100000100010000000000000010;0.226914;2241;0100001000000000000010100000000010000000000000;0;0;0.013873;2
2;0000000000000100000100000100010000000000000010;0.226914;2241;1000010001000000000000000000000010000000000010;0;0;0.0175577;8
3;0000000000000100000100000100010000000000000010;0.226914;2241;1000001000000001010000000000000000000010000000;0;0;0.0245059;4
4;0000000100000100000000000000011000000000100000;0.119482;1180;0000000000000000000011001000000010000000100000;0;0;0.0266981;4
5;0100000000000000000000000010011000000000100000;0.0889024;878;0000000000000100001000100000010000000000001000;0;0;0.0310834;5
6;0000000000000010000001000000010000000000100010;0.152491;1506;0000000000000010100000100000001000000000000010;0;0;0.0331602;3
7;0000000000000010000001000000010000000000100010;0.152491;1506;0110000000000001000000000000000000001000000010;0;0;0.0362171;7
8;0000000000000010000001000000010000000000100010;0.152491;1506;0000010000000001000010100000000000000100000000;0;0;0.0450375;6
9;0000000000000010000101000000010000000000100000;0.161705;1597;1000110000000000000001000000000000000000100000;0.00121507;12;0.0625699;6
10;0010000000000000000100000000010000000000100010;0.176488;1743;0100000000000010000001000000010000010000000000;0.000202511;2;0.0766596;10
11;0000000000000000000000001110010000000000100000;0.16697;1649;0000000000000110000001000000010000010000000000;0.00131632;13;0.089518;16
12;0000000000001000000100000000010000000000100010;0.183779;1815;0000001000000010000001000000000100000000100000;0.000405022;4;0.100045;14
13;0000000000000000000000000110110000000000100000;0.208991;2064;1000010000000000000000000000010000000100000010;0.00202511;20;0.107996;12
14;0000000000000000000100000100010000000000100010;0.205043;2025;1000001000000010000000000000010000000000001000;0;0;0.0978585;8
15;0000000000000110000100000000010000000000000010;0.271466;2681;1010000000000000000000000100010000000000000010;0.00405022;40;0.110031;14
16;0000100000000100000100000000010000000000000010;0.274808;2714;1000000001000010000000000000000000001000100000;0.00263264;26;0.119306;11
17;0000100000000100000100000000010000000000000010;0.274808;2714;1000000000000100000100000000000000000010100000;0.00212637;21;0.132474;20
18;0000000000000110000100000000010000000000000010;0.271466;2681;0000000001000100000000000100000000000010000010;0.000101256;1;0.136842;21
19;0000000000000110000100000000010000000000000010;0.271466;2681;0000000001000100000000000010000000000010000010;0.000810045;8;0.144604;26
20;0000000000000110000100000000010000000000000010;0.271466;2681;0000100000000110000100000000000010000000000000;0.00192386;19;0.127047;18
21;0000000000000110000100000000010000000000000010;0.271466;2681;0000000000010110000010000000100000000000000000;0.00232888;23;0.130851;21
22;0000100000000100000100000000010000000000000010;0.274808;2714;0000000000100010000110000000010000000000000000;0.00324018;32;0.14924;29
23;0000000000000110000100000000010000000000000010;0.271466;2681;0000100000100100000100000000000000000000000010;0.0152896;151;0.13767;25
24;0000000000000110000100000000010000000000000010;0.271466;2681;0000100000000100000100000000000000000000000101;0.00232888;23;0.143298;29
25;0000000000000110000100000000010000000000000010;0.271466;2681;0000000010000110000100000000000000000000000100;0;0;0.141542;33
26;0000000000000110000100000000010000000000000010;0.271466;2681;1010000000000100000100000000000000000000100000;0.00506278;50;0.145878;30
27;0000000000000110000100000000010000000000000010;0.271466;2681;0000000000010010000000100000000000000000010010;0;0;0.139151;35
28;0000000000000000000101000000010000000000100010;0.208586;2060;0000000000000010000110000000000000000000110000;0.00324018;32;0.144585;41
29;0000000000000010000100000000010000000000000110;0.219522;2168;0000000001000010000000000000010000001000000010;0.00141758;14;0.147014;39
30;0000000000000010000100000000010000000000000110;0.219522;2168;0000000000100010000100000000000010000000000010;0.000101256;1;0.151417;39
31;0000000000000010000100000000010000000000000110;0.219522;2168;0100000000000000100100000000010000000000000010;0.0125557;124;0.161766;40
32;0000100000000010000100000000010000000000000010;0.206561;2040;0000000010000000100000100000010000000000000010;0;0;0.155626;40
33;0000000000000000000100000100010000000000100010;0.205043;2025;0000000010000010000100000000000000000000000110;0.000101256;1;0.153667;31
34;0000000000000010000100000000010000000000000110;0.219522;2168;0000000000000000000100100000010000001000000010;0.0063791;63;0.156612;35
35;0000000000000100000100000000010000000000000110;0.269745;2664;0000000000100010000000000000000000001000100100;0.00354395;35;0.156223;33
36;0000000000000100000100000000010000000000000110;0.269745;2664;0000100000000000000100000000010000010001000000;0.0127582;126;0.163338;41
37;0000000000000010000100000000010000000000000110;0.219522;2168;0000000000000010000100000000000000010000101000;0.00111381;11;0.151649;27
38;0000000000000100000100000100010000000000000010;0.226914;2241;0000000000000010000100000000000100000000000110;0;0;0.155549;34
39;0000000000000100000100000000010000000000000110;0.269745;2664;1000000000000010000010000000010000000000000010;0;0;0.148593;26
40;0000000000000100000100000000010000000000000110;0.269745;2664;0000000000000010100100000000000000000000000110;0;0;0.159529;35
41;0000000000000100000100000000010000000000000110;0.269745;2664;0000000000000010001000000000000000000000001110;0.00324018;32;0.152031;31
42;0000000000000100000100000000010000000000000110;0.269745;2664;0000000000000000000100000000010110000000000010;0.00749291;74;0.162331;42
43;0000000000000100000100000000010000000000000110;0.269745;2664;0000000000000010100100000000000000000000000110;0;0;0.151088;35
44;0000000000000100000100000000010000000000000110;0.269745;2664;0000001000000000000100000000000000001000000110;0.000101256;1;0.149564;44
45;0000000000000100000100000000010000000000000110;0.269745;2664;0010000000000010000100100000010000000000000000;0.00354395;35;0.145741;42
46;0000000000000100000100000000010000000000000110;0.269745;2664;0000000010000010000100000000000000000000000110;0.000101256;1;0.150124;44
47;0000000000000100000100000000010000000000000110;0.269745;2664;0000000000000100000100000000000000010000000110;0.000303767;3;0.169515;60
48;0000000000000110000100000000010000000000000010;0.271466;2681;0000000000000010000100000000000100000000000110;0;0;0.183618;65
49;0000000000000100000100000000010000000000000110;0.269745;2664;1000000000000010000100000000000000000000000110;0;0;0.192265;65
50;0000000000000110000100000000010000000000000010;0.271466;2681;0000000000000010000100000000010000010000000100;0.0392872;388;0.22042;79
51;0000000000000100000100000000010000000000000110;0.269745;2664;0000000000000100000100000000000000000000000111;0.00232888;23;0.225964;81
