geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;00000100101010000011110010001100000000;0.300442;3398;10000011100100001000000110100000010100;0.0237843;269;0.151974;1
1;01010001000000000011101011000001010000;0.32794;3709;00000100101010000011110010001100000000;0.300442;3398;0.175187;1
2;01010000000000000011101111000010000001;0.415473;4699;01010001000000000011101011000001010000;0.32794;3709;0.182968;2
3;11000000100000000011101011000001000001;0.402741;4555;01010000000000000011101111000010000001;0.415473;4699;0.200953;1
4;00101100000000000011101111000000000001;0.435455;4925;01010000000000000011101111000010000001;0.415473;4699;0.20948;1
5;11000000100100000011101011000100000000;0.494164;5589;00101100000000000011101111000000000001;0.435455;4925;0.219789;1
6;01000000100100000011110011000100000010;0.611317;6914;11000000100100000011101011000100000000;0.494164;5589;0.229137;1
7;11000000100000000011101011010100000000;0.617595;6985;01000000100100000011110011000100000010;0.611317;6914;0.213011;1
8;01001000000000000011101011010100000100;0.638285;7219;11000000100000000011101011010100000000;0.617595;6985;0.216387;1
9;00011000000000000011101011010100000001;0.667286;7547;01001000000000000011101011010100000100;0.638285;7219;0.225036;1
10;00011000001000000011101011010000001000;0.486295;5500;00011000000000000011101011010100000001;0.667286;7547;0.231505;1
11;00010000000001000011101011010100000010;0.622104;7036;00011000000000000011101011010100000001;0.667286;7547;0.241449;1
12;10000000000001000011101011010100000100;0.618391;6994;00011000000000000011101011010100000001;0.667286;7547;0.238396;1
13;01010000000000000011101011010100000001;0.638727;7224;00011000000000000011101011010100000001;0.667286;7547;0.247487;1
14;00101000010000000011101011010100000000;0.6313;7140;00011000000000000011101011010100000001;0.667286;7547;0.25946;1
15;10000000001000000011101011100100001000;0.624845;7067;00011000000000000011101011010100000001;0.667286;7547;0.266863;1
16;00011000000000000011101011011100000000;0.635986;7193;00011000000000000011101011010100000001;0.667286;7547;0.284531;1
17;00001001000000000011110011010100000001;0.658709;7450;00011000000000000011101011010100000001;0.667286;7547;0.295729;1
