geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;01000000111010001000000101010001100011100100110111100000000000001000000001110000000;0.180785;11042;0.369664;1
1;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;11110000000011001100100001000000010010001000000110011100000001100100010000010110000;0.232637;14209;0.412324;1
2;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10101000010101110100000001000000100101100000000100010100000010010000001101010000110;0.290039;17715;0.44295;1
3;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10101001001000000000000000010111000000000011101000000100010100110000011000010011110;0.295573;18053;0.476582;1
4;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10011000001001011010001000011001000001001101000100100001000000000001101100010010000;0.34528;21089;0.503009;1
5;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;01000010010100100000001011000101000110001010000000011001010000000010001010011100100;0.361914;22105;0.53286;1
6;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10010011010100101000000001000111000000001010000000000010100101000101010110100100000;0.370002;22599;0.54212;1
7;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10001100010101000000110100010100001000010010000100100000000000000110010100101110010;0.382134;23340;0.557033;1
8;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;00110000011110100010000011001001001011100000010010000000000100010100010111000000000;0.428239;26156;0.571922;1
9;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;00001001000001001100011111000100000001000000011000000011001000100110000011101000001;0.408723;24964;0.581181;1
10;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;00000001000011001010010000101001000000010110010001100001010000100011000011000011100;0.456809;27901;0.590707;1
11;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10000000011000001100110010001000011001010010100010010101000101010000001000000000101;0.46069;28138;0.600942;1
12;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10011010001010100100001110101000000100101100000000001000010110010000000110000000001;0.440912;26930;0.607788;1
13;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;00010000100010110100100000010000101100111100001000001000000100010100100010001001001;0.443826;27108;0.619189;2
14;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10010010101100000010010001101010010000000110001010000010001110000000100010100000100;0.477521;29166;0.633853;1
15;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;00000001000001011100001001100010011000010010001001000000001100011110010101000000001;0.494712;30216;0.64106;1
16;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;00100010000000010100001001001101001000001100000100010011100000000010010111000110001;0.497086;30361;0.648576;1
17;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10010000100000000000110001011100011000000111001100010001000010010001001100001000001;0.525672;32107;0.648823;1
18;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;01011010011000000110100001000000011000000000001000001001110110000010000111000100001;0.525017;32067;0.650487;1
19;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;00011000001000011010010001001110001000000001011000101000100000000110010011001000001;0.526458;32155;0.651783;1
20;10010010101000000110010100101000011000000010001000000001100000010110000111000000101;0.794263;48512;10000011011000000100010101100010011000000000100001010000010000010100010111000000011;0.525607;32103;0.647252;1
