geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000100000000110101000110010001000100110110;0.630561;6095;0010010000110010100101000101001000000010001001;0.0702462;679;0.304431;1
1;0000000100000000110101000110010001000100110110;0.630561;6095;1000110100100000011100000000001101100010000001;0.136872;1323;0.387495;1
2;0000000100000000110101001110010000000001101110;0.644838;6233;1010000010010000110100000010000001000100110101;0.213429;2063;0.423603;1
3;0000000100000000110101001110010000000001101110;0.644838;6233;0010010001100000011100000010010001100000100101;0.241672;2336;0.437645;1
4;0000000100000000110101001110010000000001101110;0.644838;6233;0110000001000010000110011001010001010000010100;0.173702;1679;0.447509;1
5;0000000100000000110101001110010000000001101110;0.644838;6233;1010000100100000110101100111101000000000000000;0.195531;1890;0.446777;1
6;0000000100000000110101001110010001000000110110;0.656631;6347;0010000100000101000001001101000001001000001111;0.22067;2133;0.444438;2
7;0000000100000000110101001110010001000000110110;0.656631;6347;0000000100110011000010000110010011001000000011;0.221188;2138;0.480837;2
8;0000000100000000110101001110010001000000110110;0.656631;6347;0000000100000001111000001111010010001000001100;0.212187;2051;0.478216;2
9;0000000100000000110101001110010001000000110110;0.656631;6347;0101100010000000110001011000000011000001000110;0.216015;2088;0.473926;2
10;0000000100000100010101000110111000000001100110;0.671219;6488;1010000010000000110101000110000000110000010110;0.236396;2285;0.490575;1
11;0000000100000100010101000110111000000001100110;0.671219;6488;0000011110000011000001000000110010101000100100;0.259466;2508;0.49322;1
12;0000000100000100010101000110111000000001100110;0.671219;6488;0101110100000010000000001010001101000000010110;0.249224;2409;0.499543;2
13;0000000100000100010101000110111000000101100010;0.679599;6569;0000000001100010100010001110010000101001001010;0.220567;2132;0.503202;1
14;0000000100000000010101000110111000000101100110;0.686944;6640;0010000000010001100110010111000100000000100110;0.256156;2476;0.508677;3
15;0000000100000000010101000110111000000101100110;0.686944;6640;1010100000000010010001100010000000100000110111;0.27933;2700;0.503121;1
16;0000000100000000010101000110111000000101100110;0.686944;6640;1000011101000000010000010100111000000100100100;0.312642;3022;0.524008;2
17;0000000100000000010101000110111000000101100110;0.686944;6640;0000001000100010110000100100011001100000101100;0.324747;3139;0.525623;2
18;0000000100000110011101001110011000000000100010;0.688703;6657;0000010101000010010110000100001000110100001010;0.279226;2699;0.521983;1
19;0000000100000110011101001110011000000000100010;0.688703;6657;1000011100000010000000000100011010000110101001;0.238672;2307;0.518324;2
20;0000000100000110011101001110011000000000100010;0.688703;6657;1000000101010000111101000000011000010010000010;0.286571;2770;0.518126;1
21;0000000100000110011101001110011000000000100010;0.688703;6657;0010100101000000000101110100001000011000110000;0.252845;2444;0.526219;1
22;0000000100000110011101001110011000000000100010;0.688703;6657;0100001001101000100111000100001000000001100010;0.204118;1973;0.528128;1
23;0000000100000110011101001110011000000000100010;0.688703;6657;0000000101000000011101001101011000000010000101;0.290503;2808;0.512525;2
24;0000000100010110011101001110010000000000100010;0.701842;6784;0000000000000010111001001110010000101101000010;0.341506;3301;0.539943;2
25;0000000100010110011101001110010000000000100010;0.701842;6784;0000000110100000110100001110011001000010001000;0.231947;2242;0.541075;1
26;0000000100010110011101001110010000000000100010;0.701842;6784;0000000001001000110101001100001001010000000111;0.292262;2825;0.554645;1
27;0000000100010110011101001110010000000000100010;0.701842;6784;0000010100010011011001001010010000000100000110;0.343265;3318;0.557564;1
28;0000000100010110011101001110010000000000100010;0.701842;6784;0100000100000110011001001111001000000000101000;0.332506;3214;0.549366;1
29;0000000100010110011101001110010000000000100010;0.701842;6784;0000010100001110111011000010000000100100000010;0.251914;2435;0.543184;1
30;0000000100010110011101001110010000000000100010;0.701842;6784;0000000010000110111101000001100000010100001010;0.283261;2738;0.536204;1
31;0000000100010110011101001110010000000000100010;0.701842;6784;0000010110000110010001000000000000111001000111;0.241879;2338;0.519696;2
32;0000000100010110011101001110010000000000100010;0.701842;6784;0010010100000000111100100010010010000010100010;0.264018;2552;0.539242;1
33;0000000100010110011101001110010000000000100010;0.701842;6784;0011100100000001001000001110000001000100101010;0.298469;2885;0.528344;1
34;0000000100010110011101001110010000000000100010;0.701842;6784;0010001000010010001101001110000001000101001000;0.250569;2422;0.534014;3
35;0000000100010110011101001110010000000000100010;0.701842;6784;0010000010000110011001010100000100010100100010;0.273743;2646;0.550338;2
