geração;melhor;fitness;cobertura;pior;fitness;cobertura;média;ind_repetidos
0;0000000100000000110101000110010001000100110110;0.630561;6095;0010100010010000100100110001000001000110010001;0.0266915;258;0.305085;1
1;0100000100100010010100100100010000010000101110;0.595179;5753;0011101001000001000010011000001000000011010100;0.119181;1152;0.351934;1
2;0000000100000010001100001110010000110100010110;0.619905;5992;1011010001001010001000000010001000001100000110;0.122491;1184;0.39656;1
3;0100000100000010000101000110110000001100101010;0.617629;5970;1011000000000110001100001000000010110011001000;0.131181;1268;0.406825;1
4;0000100000100100000101010110010000001100110100;0.627147;6062;0100100101110000000110011000000010000100010100;0.106145;1026;0.413881;2
5;0000000000000010110100000110111100010000100110;0.624147;6033;1100000110000110011000110010000001000000010100;0.107697;1041;0.433171;1
6;0000000000000010110101000110111000001000010110;0.641424;6200;0000000101100011010000000001000010011011000110;0.130664;1263;0.431942;1
7;0000000010000110010100000100010101001010100110;0.597972;5780;0000000000101100000001110100100111010010010000;0.157976;1527;0.438763;1
8;0000000100000010010101011100110010000000101100;0.643906;6224;0010100001101100110000000001000001000110100100;0.117629;1137;0.446496;1
9;0010100100000000000101010110110000000000101110;0.654459;6326;0100000100100010010001100110100101000001000100;0.17815;1722;0.44072;1
10;0010100100000000000101010110110000000000101110;0.654459;6326;1000011010000000000110100110000010101000000110;0.144424;1396;0.45664;1
11;0000000101001110010101100100010000001000100010;0.632319;6112;0010110100000001001100000001000001100011110000;0.169977;1643;0.447043;1
12;0000000000000110000111001110010010001000100110;0.643803;6223;0000001000011101110010001100001010000010000100;0.149079;1441;0.451308;1
13;0100000100000010010100010110010000011000010110;0.616698;5961;0010000010001110001000000001100000010010111010;0.235878;2280;0.456613;1
14;0000000000001111010100011100110100000000100010;0.624457;6036;0100000000111010001000000010011100001010001100;0.200497;1938;0.470396;1
15;0000100000000110001111010110110000000000100010;0.63594;6147;1000011100000000111010000101010000010000001100;0.129009;1247;0.464669;1
16;0000101100000110011101000100010100000000100010;0.633354;6122;0000000110010000100110001100100100001011000010;0.156321;1511;0.477605;1
17;0010000100000100010101001110010001001000000110;0.632733;6116;1010001000011000001000001000111100010000001001;0.126112;1219;0.454584;1
18;0000000110000110011101000100110000000010100010;0.645769;6242;1110001011000010110000010010001010000010000000;0.078833;762;0.454591;1
19;0001000000000100010100001110010000000101101110;0.647631;6260;0010000001010010100101010000011000000111000100;0.181357;1753;0.469964;1
20;0000000101000110010101000000011000001101100010;0.628595;6076;0010111000010010101101001000001000000010100000;0.224084;2166;0.458558;1
21;0000100010000010011101000100010000001001100110;0.623422;6026;0000100100100110010000110010000111000000000101;0.164701;1592;0.469147;1
22;0000000100001010010101000100011000011100000110;0.633251;6121;1010001001101000110100000000010001000010001100;0.151148;1461;0.473194;1
23;0000101000000100000101000110110000001100101010;0.639044;6177;0100000100010011011000010000000000011001010110;0.153424;1483;0.46217;1
24;0000101000000100000101000110110000001100101010;0.639044;6177;1100011000001100101010000010000000000001101010;0.159321;1540;0.462964;1
25;0100001000000100110101010110010000000000110010;0.629112;6081;1000111010000100101001001000000000011000010010;0.133664;1292;0.467848;2
26;0100001000001010010101010100110000000000100110;0.641734;6203;1101000100010010000101001000000000001001010011;0.19522;1887;0.476359;1
27;0000100100000100000101011100010000000000111110;0.651769;6300;0000100110001001000001001010000001111100000100;0.186116;1799;0.490958;1
28;0000001100000010111101010100010000000010100010;0.633251;6121;1000011100000100100011000000101100000100001010;0.170184;1645;0.490919;1
29;0000000100000111010101000100110000010010100010;0.64401;6225;1010001100100000111001010100010000000010000010;0.223878;2164;0.491071;1
30;0000000000001111010101000100110000010010100010;0.662632;6405;0001011010001000100100000100001000000111101000;0.169563;1639;0.488561;1
31;0000100000001110010101000100010000011010100010;0.669253;6469;1101000110000011000111001100000000000010010000;0.166667;1611;0.49311;1
32;0000000100100100010101000100110000001010100011;0.631078;6100;1110100000001000100100000111000000000010010011;0.118456;1145;0.484124;2
33;0000000000001110010101000100110000011000100110;0.671426;6490;0010000111000000100101000100101000101000001010;0.182599;1765;0.495636;1
34;0000000010001110010111000100010000000010101100;0.63294;6118;0000000101100000011100100100001000110010000011;0.150114;1451;0.483867;1
35;0000000000001110010101000100110100011000000110;0.655804;6339;0010000100010011001110010010000000110010000010;0.1976;1910;0.471456;1
36;0000000100000010110100010110110000000100110010;0.645251;6237;0000010100110001000001000001010000101010011010;0.165736;1602;0.470918;1
37;0000001000000110010101000100010000011000110110;0.639665;6183;0000100011010101000000000000100000000011101111;0.208876;2019;0.473311;1
38;0000000000001110000111000100110000001000101110;0.642458;6210;0100000011100000000010010100110001010000000111;0.162425;1570;0.467734;1
39;1000001000001110001101000100010000000000101110;0.620629;5999;0000100011001000001110000000000110000111000110;0.152907;1478;0.461702;1
40;0000001000100000000100001110010101000000111110;0.623008;6022;0100100101010000000001001101011100001000000001;0.165942;1604;0.458057;1
41;0000100001010010011101000100010000001000100110;0.622388;6016;0100101010100100000000100001100000100100101100;0.169977;1643;0.464356;1
42;0000010000000110010110000100110000001000101110;0.630457;6094;0010000000011011100100010001000000101000001110;0.175047;1692;0.461294;1
43;0010000101000100011101000110010000001000100010;0.615974;5954;0101000100000010100001100100000100001001010110;0.20598;1991;0.468268;1
44;0001100000000110110101000100111000000000100010;0.62125;6005;1100100000001100100000111001000100000000110010;0.095179;920;0.459184;1
45;0000001100000110111101000100011000000000100010;0.642458;6210;1000011000000100001100110000000100010111001000;0.129423;1251;0.466628;1
46;0000001010100010010101000100110000100000100110;0.622181;6014;0010100001000100101000101100010000001010101000;0.205359;1985;0.475171;2
47;0000100000000010010111010100010001001000100110;0.635423;6142;0000001110000001101101100001000000100000001011;0.13801;1334;0.468613;1
48;0000000000100110010100011100110100000000101010;0.650631;6289;0010001011100010000100001000000001111000001010;0.14132;1366;0.46195;1
49;0000000000000110010110000110110000000100101110;0.657666;6357;1000110000110100011000010000010010000101000100;0.127974;1237;0.464909;1
50;1000000000000100000101010110010100000100101110;0.638527;6172;0010100011101100010010010000110000000010000010;0.176805;1709;0.476382;1
51;0000101000010100000101000100110100000000101110;0.632113;6110;0010100010010000010001100010110000001001000101;0.17246;1667;0.477271;1
52;0000100000000110000101010100111100000000101010;0.642148;6207;0000000000000110111001100100000000101001001011;0.186323;1801;0.460553;1
53;0000000010000010011101000100110000010000110110;0.639768;6184;0101100000000100000010101001000010000110101010;0.191703;1853;0.458914;1
54;0001101100000000001101000100010001000100110010;0.613387;5929;0100111001000100010100001000001010011000001000;0.184358;1782;0.46206;1
55;0000101100000000001101000110010001000100110010;0.631492;6104;0000010001010010100100001001010100000101010100;0.154045;1489;0.450209;1
56;0000000100000010110100000100110000000001101111;0.608732;5884;1000101011101000000100001010000010101000000100;0.108111;1045;0.461058;1
57;1000000100000000000101011110010000000000111110;0.636044;6148;1000101000100000001101100001000011000101000010;0.170391;1647;0.459767;1
58;0000100100000000000101011110010000000000111110;0.655183;6333;0100100000110000001100110100000010101000001010;0.161494;1561;0.461568;1
59;0000100000010111010101000000110000010000100110;0.630043;6090;1010100001000010011010001100000100100000010010;0.120422;1164;0.455094;1
60;1000000100010110001101000010010000000100110010;0.614318;5938;0000100110000100100001000000100110101011000100;0.164908;1594;0.453591;1
61;0000000100000110010101000000010100101100100110;0.607697;5874;0000010010100100011000011100100100000000011100;0.161597;1562;0.457626;1
62;0000000000101110010101000100010001001000101010;0.628078;6071;1101010000001101010000000110000011000000000101;0.111939;1082;0.464214;1
63;0100100000000100010111000110010001001000100010;0.623112;6023;0100000001000100101000000111010100100010010010;0.192117;1857;0.455973;1
64;0000100000000100010111000110010001011000100010;0.652286;6305;1100001110000010000010010100000010001100110000;0.164804;1593;0.46659;1
65;0000100000000100010100000100010011110010101010;0.626733;6058;0101000000010010000100100101010011000000011001;0.16377;1583;0.459782;1
66;0001100100000100011100000100110000000100101010;0.625802;6049;1101100100000000011001000100000100101010000100;0.185909;1797;0.467857;1
67;0000000100010100011100011100010000000000111010;0.636768;6155;0001000000010010111000000101000000000010111011;0.18053;1745;0.46224;1
68;0000001100000000010101001110010010011000100010;0.649493;6278;0001000110000001100000000101010011010010001010;0.144631;1398;0.464578;1
69;0000100000000110110101000000010100010110100010;0.638423;6171;0100000101000011000000111000011001001001000001;0.162942;1575;0.468018;1
70;0000000100000100011101000010110010000010100110;0.613491;5930;0000100110010001010110100000001001000100001010;0.205876;1990;0.467045;1
71;0001101000000100010101010110010000000100100010;0.651873;6301;0010100101010010010000000010000010100011010010;0.159839;1545;0.454025;1
